trial_number,CR,F,G,size,best_positions,best_total_power,state
0,0.968540662820932,0.8860864625126346,113,191,"[0.         1.         1.         0.         1.         0.
 0.         0.         0.         0.83131008 0.9207492  1.
 1.         1.         1.         1.         0.         1.
 0.04090251 0.10508933 0.         1.         0.         1.
 0.         1.         0.         1.         1.         0.
 0.         1.         1.         1.         1.         1.
 0.         1.         1.         1.         0.         1.
 1.         0.         0.         0.         0.         1.
 0.07255182 0.         1.         0.         0.         1.
 1.         1.         1.         1.         0.         1.
 1.         0.         0.         0.72326338 1.         1.
 0.         0.         0.         1.         0.         0.
 0.         1.         1.         0.         1.         0.
 0.         0.         1.         1.         0.         1.
 1.         0.         1.         1.         0.         0.
 1.         0.         0.         0.         0.21049368 1.
 0.         0.         0.         0.         1.         1.
 0.         1.         1.         0.         1.         1.
 1.         1.         0.         0.         0.         0.
 1.         0.         1.         1.         1.         0.
 1.         0.         0.         1.         0.         0.
 0.         1.         0.         0.         0.         0.
 1.         1.         0.         0.         1.         0.
 0.         0.         1.         0.         0.         0.
 1.         0.         0.         1.         0.         0.
 0.         0.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         0.
 1.         0.         0.         1.         0.         0.
 1.         1.         1.         1.         0.         0.
 1.         1.         1.         1.         0.         1.
 1.         1.         1.         1.         1.         0.29426926
 0.         1.         0.         0.         0.         1.
 0.         1.         0.         0.         0.         0.
 0.         0.        ]",-3.776075014886582,COMPLETE
1,0.011398804277429897,0.3094554951795616,62,42,"[0.09893077 0.91607974 0.82410112 0.         0.46827738 0.22137164
 0.74859044 0.26293634 0.53361564 0.4173703  0.2290868  0.99918178
 0.74864911 0.89187836 0.00309072 0.93675731 0.         0.77953805
 0.95311358 0.16776658 0.         0.9659249  0.13553092 0.75581493
 0.36311739 0.15267155 0.11676962 0.71039226 0.         0.38624945
 0.79741043 0.22550147 0.509484   0.87815785 0.3608737  0.13872274
 0.15074583 0.65980771 0.87682329 0.01559623 0.27922138 0.84459679
 0.80453668 0.614324   1.         0.18126868 0.79415518 0.18155554
 0.98046357 0.44984239 0.09529919 0.93957072 0.55742985 0.24463084
 0.54750453 0.32557994 0.72624009 0.41351828 0.44961061 0.98775655
 0.56554487 0.70395746 0.45124167 0.13977546 0.51404168 0.01879664
 0.12576668 0.94361676 0.24840089 0.12985907 0.58580543 0.34297226
 0.         0.70330512 0.28341156 0.96309443 0.73475721 0.04482683
 0.75514629 0.02535917 0.61283776 0.31899164 0.18527971 0.7249821
 0.         1.         0.13952871 0.91222143 0.0440403  0.00863985
 0.04539767 1.         0.13566998 0.31560209 0.26930554 0.75609544
 0.63089846 0.78687307 0.25631506 0.9613479  0.82854666 0.1003585
 1.         0.57419267 0.03363973 0.39042915 0.93603934 0.
 0.         0.39924889 0.62745956 0.03055693 0.69026027 1.
 0.39182739 0.77981296 0.209717   0.34291241 0.9925547  0.1311632
 0.91830245 0.         0.19337989 0.16182396 0.33566976 0.75738627
 1.         1.         0.42342407 0.94733449 0.         0.31769205
 0.67003981 0.90320062 0.8870426  0.9964349  0.05750954 0.91542884
 0.2965775  0.08392348 0.99406953 0.74307735 0.22985934 0.
 0.06578315 0.98095552 0.14131445 0.58190431 0.69641482 0.
 0.55798113 0.         0.01646274 0.45168995 0.74745732 0.55724532
 0.23592983 0.05202225 0.79494833 0.59030867 0.60438911 0.97168904
 0.86397429 0.65448447 0.25250299 0.63151093 0.27105411 0.55822382
 0.53251548 0.28453596 0.         0.98852625 0.54371295 0.210642
 0.68374091 0.22159846 0.19123749 0.14586176 0.23785262 0.88865049
 1.         0.51827752 0.86458976 1.         0.         0.90103288
 0.73811636 1.         0.26650915 0.98275876 0.43541574 0.06585086
 0.07876255 0.7713576  0.06461498 0.         0.25473197 0.19071111
 0.94140345 0.72489703]",-1.1830403842966195,COMPLETE
2,0.47839179580240243,0.5704072042173127,119,65,"[0.         0.90754233 0.75495717 0.         1.         0.12240455
 0.90273315 0.63307964 0.17470879 1.         0.         0.55454034
 1.         0.76534616 1.         0.         1.         1.
 0.61680624 0.         0.         0.         0.3575456  0.74716937
 0.         0.90543581 0.68817025 0.00164985 1.         0.3832895
 0.1461676  0.         0.26709184 0.         0.81759595 0.
 0.98468537 1.         0.51415566 1.         0.         0.
 1.         1.         0.         0.48259391 0.65619499 0.
 1.         0.         1.         0.         0.         0.07845378
 0.28305181 0.         0.02182808 1.         1.         1.
 0.         0.08905097 1.         0.18533313 0.         1.
 0.17871066 0.95320043 0.         1.         0.65455385 0.76657548
 1.         0.         0.         0.28671807 1.         0.
 0.         0.69789158 0.10596181 0.03074057 0.92439037 0.43852782
 0.         0.         0.         0.65591943 0.91055739 0.82643717
 0.68696665 0.         1.         0.25994447 0.         0.
 0.97782444 1.         0.2020985  0.5497471  0.49197182 0.67738869
 0.37794479 0.         0.         0.91459631 0.02078101 0.94481348
 0.40868011 0.         0.0514941  0.         0.         1.
 1.         0.         0.98345973 0.         0.         0.11356191
 0.0508821  0.         0.92910717 0.         0.107692   0.53335197
 0.71076405 0.99375314 1.         0.94435365 1.         0.
 0.19723256 0.         0.81411589 0.2225792  0.         1.
 0.65001472 0.31101588 0.         0.35776456 1.         0.
 1.         0.         0.09479174 0.01512578 0.         0.56400907
 0.         0.         0.         0.9497368  0.12721559 0.9329438
 0.12031647 0.5704072  0.7487844  0.01284924 1.         1.
 0.98682788 0.         0.33943358 1.         0.99659732 0.76151365
 0.         0.99533376 0.93797036 0.72464717 0.62951539 0.85931366
 0.         0.61659019 1.         0.97412816 0.         1.
 0.80348784 1.         0.99365917 1.         1.         1.
 0.         0.         1.         0.         0.16746023 0.
 0.         0.         0.04574475 0.         0.         0.
 1.         0.03545512]",-3.336437195964789,COMPLETE
3,0.7123745740820913,0.784806018042636,69,81,"[0.         0.95750449 1.         1.         1.         0.
 1.         0.69304363 1.         1.         0.         0.97749352
 1.         0.         0.         1.         1.         0.71711873
 0.         0.         0.55113647 1.         0.30463959 1.
 0.         1.         1.         0.         1.         1.
 0.         0.         0.78425817 1.         0.1440081  1.
 0.         0.40439177 0.01750619 0.10038364 1.         1.
 0.67711693 1.         1.         0.         0.         0.40790038
 0.         0.98752414 1.         1.         1.         0.34797045
 0.39812571 1.         0.27137793 1.         1.         0.
 0.         0.         0.37531251 1.         0.         0.70083
 0.         0.82476059 1.         0.         1.         0.
 0.         0.90544716 0.22929321 0.35186339 0.46466985 0.38829233
 1.         1.         0.92278482 0.1709869  0.55373298 1.
 1.         0.         0.         0.         1.         0.39094011
 1.         1.         0.06304886 0.         1.         0.
 0.         0.         0.         0.10276737 0.         0.
 0.         1.         0.         0.50750573 0.37703518 1.
 0.55200386 1.         0.2155007  0.         0.         0.
 1.         1.         0.14449274 0.65226364 0.         0.
 0.         1.         0.82626049 1.         1.         1.
 0.18563321 0.         0.         0.         0.78480602 1.
 0.1879     1.         0.12342351 0.         0.29769152 1.
 0.         1.         1.         0.         0.91070036 0.24121855
 1.         1.         1.         0.09153906 1.         0.
 1.         0.         0.53964092 1.         0.3531302  0.53645821
 1.         0.         0.         0.         0.         1.
 0.         0.1469879  0.21519398 0.         1.         1.
 1.         0.50703817 0.64893152 1.         1.         0.57217892
 0.         0.16033109 0.         1.         0.89008848 1.
 1.         0.16888553 0.21519398 1.         1.         0.
 0.         0.45637114 1.         0.00708934 0.         1.
 0.         0.         1.         0.         0.30707012 0.
 0.9116121  0.        ]",-3.2332656261250943,COMPLETE
4,0.9738552412004462,0.3601675252162789,26,30,"[1.46138702e-02 1.00000000e+00 0.00000000e+00 2.85240994e-02
 9.99032033e-01 1.00000000e+00 9.66281028e-01 9.35387636e-01
 1.00000000e+00 1.18029020e-01 1.00000000e+00 9.98978743e-01
 0.00000000e+00 1.00000000e+00 1.00000000e+00 1.00000000e+00
 9.75885610e-01 2.87448460e-01 9.96184816e-01 9.61679428e-01
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 4.93520281e-01 0.00000000e+00 0.00000000e+00
 0.00000000e+00 1.05125649e-01 0.00000000e+00 0.00000000e+00
 9.53504336e-01 1.00000000e+00 1.00000000e+00 9.27695594e-01
 9.99953211e-01 0.00000000e+00 1.00000000e+00 1.00000000e+00
 4.36304164e-02 7.30865883e-01 1.00000000e+00 1.00000000e+00
 9.99840030e-01 1.00000000e+00 0.00000000e+00 7.61950841e-02
 1.00000000e+00 1.00000000e+00 1.00000000e+00 0.00000000e+00
 1.00000000e+00 0.00000000e+00 1.00000000e+00 1.46148761e-01
 9.45314435e-01 0.00000000e+00 4.09568981e-02 6.77861030e-02
 1.00000000e+00 1.00000000e+00 0.00000000e+00 8.77194421e-01
 1.00000000e+00 0.00000000e+00 1.59661953e-02 1.00000000e+00
 1.00000000e+00 1.00000000e+00 1.00000000e+00 2.57785151e-03
 9.13699567e-01 1.00000000e+00 0.00000000e+00 1.00000000e+00
 1.00000000e+00 9.39605541e-02 1.00000000e+00 7.45217846e-02
 1.00000000e+00 0.00000000e+00 1.69596932e-01 5.35880546e-02
 9.11208921e-01 0.00000000e+00 3.09520326e-01 1.00000000e+00
 0.00000000e+00 1.00000000e+00 3.61162924e-02 0.00000000e+00
 0.00000000e+00 1.00000000e+00 1.00000000e+00 0.00000000e+00
 1.00000000e+00 1.00000000e+00 3.05113360e-02 0.00000000e+00
 1.00000000e+00 7.58287062e-01 9.99073340e-01 9.92033123e-01
 6.22540671e-01 0.00000000e+00 4.27138281e-02 1.00000000e+00
 0.00000000e+00 1.00000000e+00 9.32756489e-01 9.52037305e-01
 0.00000000e+00 1.00000000e+00 0.00000000e+00 9.93725897e-01
 9.99165966e-01 0.00000000e+00 1.00000000e+00 1.00000000e+00
 1.00000000e+00 8.13124809e-01 1.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 1.00000000e+00
 1.00000000e+00 1.00000000e+00 0.00000000e+00 4.13608835e-01
 2.72530722e-01 0.00000000e+00 1.00000000e+00 4.59583737e-01
 0.00000000e+00 0.00000000e+00 1.00000000e+00 1.00000000e+00
 9.43158431e-01 9.53510589e-01 0.00000000e+00 3.67696390e-03
 0.00000000e+00 1.00000000e+00 0.00000000e+00 0.00000000e+00
 1.85986692e-01 0.00000000e+00 1.00000000e+00 1.00000000e+00
 1.00000000e+00 1.53745981e-03 1.00000000e+00 9.97453495e-01
 9.72669034e-01 1.00000000e+00 1.00000000e+00 0.00000000e+00
 1.00000000e+00 9.97353173e-01 0.00000000e+00 1.29050716e-02
 1.00000000e+00 0.00000000e+00 3.18759576e-04 1.00000000e+00
 1.00000000e+00 1.00000000e+00 1.00000000e+00 9.82104916e-01
 1.00000000e+00 1.00000000e+00 0.00000000e+00 1.00000000e+00
 0.00000000e+00 1.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 1.00000000e+00 1.00000000e+00
 0.00000000e+00 1.00000000e+00 1.00000000e+00 8.46895678e-01
 1.00000000e+00 0.00000000e+00 0.00000000e+00 1.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 9.54389133e-01
 9.52984753e-01 9.77597269e-02 1.00000000e+00 1.00000000e+00]",-3.393485357808262,COMPLETE
5,0.9828705465534338,0.1592275490084903,43,15,"[0.00000000e+00 5.88314297e-01 0.00000000e+00 0.00000000e+00
 0.00000000e+00 2.14476264e-01 3.90186561e-01 4.22981656e-01
 1.00000000e+00 0.00000000e+00 1.00000000e+00 0.00000000e+00
 1.00000000e+00 5.58778411e-01 9.47297914e-03 1.00000000e+00
 1.00000000e+00 5.84584852e-05 1.00000000e+00 0.00000000e+00
 2.60804419e-01 2.24819688e-01 4.75465635e-01 1.16104792e-01
 3.08739192e-01 0.00000000e+00 1.60813926e-01 9.99958086e-01
 9.85545958e-01 0.00000000e+00 9.99192820e-01 3.51220151e-01
 1.00000000e+00 0.00000000e+00 3.76936301e-01 0.00000000e+00
 1.00000000e+00 6.64378889e-04 3.88340131e-01 1.00000000e+00
 3.09334298e-01 1.00000000e+00 0.00000000e+00 7.86643568e-01
 1.00000000e+00 9.95910483e-01 1.00000000e+00 9.98915211e-01
 9.69526212e-01 4.04903942e-01 1.00000000e+00 6.21592447e-02
 7.35905591e-01 8.20938282e-01 0.00000000e+00 7.57175661e-01
 2.42118657e-01 1.00000000e+00 0.00000000e+00 9.49364797e-01
 8.67541312e-02 7.05807852e-01 1.00000000e+00 0.00000000e+00
 2.50484739e-03 1.00000000e+00 0.00000000e+00 1.00000000e+00
 3.17187823e-01 5.76569403e-01 0.00000000e+00 5.77936597e-01
 9.47861241e-01 8.05749428e-01 9.62148328e-01 5.11933967e-01
 0.00000000e+00 0.00000000e+00 8.97333937e-01 0.00000000e+00
 0.00000000e+00 0.00000000e+00 2.18568717e-01 1.91102934e-04
 0.00000000e+00 0.00000000e+00 1.93242687e-01 4.73118576e-01
 8.58871592e-01 1.00000000e+00 8.42335190e-01 1.00000000e+00
 6.27787714e-01 1.12607610e-04 0.00000000e+00 1.61283164e-04
 1.33735801e-06 9.94992491e-01 0.00000000e+00 5.54576956e-01
 2.53630711e-01 1.28300853e-01 1.00000000e+00 1.00000000e+00
 1.11678258e-04 1.28420793e-03 1.00000000e+00 9.14024957e-01
 7.67692162e-01 2.66390223e-02 1.00000000e+00 1.00000000e+00
 1.16948983e-01 7.41668766e-01 0.00000000e+00 0.00000000e+00
 1.00000000e+00 4.41189557e-01 3.29378683e-01 9.88880430e-01
 2.30823986e-01 4.89872543e-01 0.00000000e+00 6.23220219e-09
 4.34243651e-01 2.72648370e-01 1.37077740e-02 1.00000000e+00
 6.71504372e-01 5.97458589e-01 0.00000000e+00 1.00000000e+00
 5.01160001e-01 0.00000000e+00 6.63418986e-01 1.00000000e+00
 9.87478732e-01 1.00000000e+00 8.62744342e-01 9.99644175e-01
 3.27075409e-04 4.54661052e-01 9.99999798e-01 8.32836558e-04
 4.25482273e-01 0.00000000e+00 0.00000000e+00 9.90279574e-01
 6.55145144e-01 2.41032754e-01 5.03300685e-02 0.00000000e+00
 1.00000000e+00 3.84823015e-01 9.60077817e-01 1.00000000e+00
 1.00000000e+00 2.65937696e-01 1.93859705e-01 9.96362318e-01
 9.05100805e-01 1.52726455e-01 0.00000000e+00 7.28665869e-01
 1.00000000e+00 7.28582799e-03 4.15796241e-01 6.97569008e-01
 9.95352133e-01 0.00000000e+00 1.25259902e-01 5.08402296e-01
 1.90931772e-04 9.99980571e-01 0.00000000e+00 2.02337366e-09
 3.46234158e-01 4.66146397e-02 0.00000000e+00 0.00000000e+00
 0.00000000e+00 1.34886904e-01 7.36795892e-01 1.00000000e+00
 9.84912313e-01 6.83898827e-01 1.95604931e-02 3.80235110e-04
 9.95371389e-01 6.86482696e-01 0.00000000e+00 1.00000000e+00
 1.77222389e-01 3.82236060e-01 1.00000000e+00 9.99739036e-01
 3.95262008e-04 0.00000000e+00 4.93376152e-03 6.44649663e-02]",-2.54931076880737,COMPLETE
6,0.22476993896804542,0.16384856027517886,617,37,"[9.12892405e-05 9.99870149e-01 9.99601177e-01 0.00000000e+00
 9.99894939e-01 7.86610607e-06 9.99932793e-01 3.45681818e-03
 2.78658671e-06 9.99984879e-01 7.07454369e-04 7.06628108e-01
 9.99966878e-01 9.90041342e-01 1.00000000e+00 7.50045304e-05
 9.99905692e-01 9.99730050e-01 9.99811979e-01 8.85573865e-06
 9.99972105e-01 2.99671224e-05 0.00000000e+00 1.33034689e-05
 3.26614359e-03 7.91202216e-05 9.99768090e-01 0.00000000e+00
 9.99998939e-01 1.47351714e-04 9.99871348e-01 2.39401568e-02
 1.02888434e-04 2.34520599e-05 7.78170588e-05 2.33054237e-05
 4.04443441e-06 1.28856652e-05 9.99994468e-01 2.48594458e-04
 9.99894876e-01 3.93683428e-05 2.28643513e-02 2.85985834e-05
 9.99949814e-01 9.99759044e-01 1.43885719e-04 1.25837438e-05
 9.97872758e-01 2.34684331e-05 6.35585850e-04 2.46224603e-05
 9.99860883e-01 1.04587780e-01 2.47936300e-04 3.56868484e-05
 9.99960164e-01 9.99892217e-01 2.15223589e-05 1.61147344e-04
 1.44200963e-04 9.40082165e-05 4.38748061e-06 4.56420607e-06
 2.55373670e-04 9.99974152e-01 9.13149692e-05 9.76119639e-01
 2.53703996e-04 9.99989466e-01 9.99979020e-01 8.43128270e-05
 1.00000000e+00 2.22343735e-02 9.99952803e-01 9.99932283e-01
 9.99923285e-01 5.65482359e-05 9.99945166e-01 9.95753238e-01
 2.23791658e-02 5.52109285e-04 5.53492089e-05 1.68409635e-04
 1.19791165e-04 5.29522397e-07 7.48939090e-03 9.99985417e-01
 9.99959519e-01 9.99611867e-01 9.99211858e-01 1.00000000e+00
 9.99930932e-01 0.00000000e+00 0.00000000e+00 3.84194592e-05
 1.65571939e-04 9.99986432e-01 2.34553229e-05 9.99997007e-01
 5.09449822e-05 3.42369484e-04 1.82581005e-04 0.00000000e+00
 3.30837945e-04 1.05257331e-04 9.85417871e-01 9.99982850e-01
 9.99799152e-01 1.35227785e-04 2.44158155e-05 0.00000000e+00
 0.00000000e+00 9.99850795e-01 9.99973760e-01 9.99925626e-01
 0.00000000e+00 7.77036708e-05 7.82535877e-05 3.76677870e-05
 9.99786949e-01 0.00000000e+00 3.29426272e-04 9.99886967e-01
 5.10990885e-04 1.87701172e-05 0.00000000e+00 9.99956545e-01
 9.99988943e-01 9.99997174e-01 9.98972513e-01 9.99964970e-01
 9.99891365e-01 7.29431465e-05 3.67194842e-04 5.51690191e-05
 3.36341594e-01 9.99989966e-01 9.99591003e-01 9.85385724e-01
 9.99830262e-01 9.98794714e-01 2.30502936e-05 1.32749038e-04
 9.83702223e-01 9.99230920e-01 1.91796430e-04 1.00000000e+00
 9.99997897e-01 9.99700316e-01 9.99933176e-01 2.55764067e-03
 9.99863221e-01 9.99976198e-01 1.49440448e-04 5.72834971e-01
 2.23453590e-03 9.99897534e-01 2.78561946e-04 1.54349555e-01
 9.99900608e-01 9.99924298e-01 9.98760343e-01 9.98682501e-01
 9.99978166e-01 9.99668403e-01 9.99793825e-01 1.00000000e+00
 9.88685687e-01 9.99845421e-01 9.99954136e-01 9.99954757e-01
 9.99938256e-01 1.00000000e+00 9.99728869e-01 1.02817673e-03
 4.00077891e-04 9.99800017e-01 9.98646158e-01 9.99986373e-01
 1.05091318e-02 9.94818358e-01 9.99794633e-01 9.99396758e-01
 9.86738400e-01 9.99275061e-01 1.07433100e-04 9.99943308e-01
 4.66340226e-05 1.00000000e+00 9.31160756e-05 1.86588724e-04
 5.46237973e-05 9.99952729e-01 7.37880429e-05 9.99978430e-01
 7.88298276e-03 9.99951238e-01 2.34515353e-01 1.16664369e-04]",-4.372080352791116,COMPLETE
7,0.9847494372852713,0.41091545079808034,49,10,"[0.         0.         1.         0.         0.90010721 1.
 1.         0.08731882 0.12412403 0.82900451 0.13473591 0.0236201
 0.05596834 0.5539312  1.         1.         0.13101582 0.
 0.15139714 0.         0.12986467 0.99988672 0.         1.
 0.         0.         1.         0.09541424 1.         0.
 0.         1.         0.         0.         0.95411779 1.
 0.99310008 1.         1.         0.98169385 0.0993508  1.
 0.         0.89290909 0.         1.         1.         0.
 0.01180108 0.         1.         1.         1.         1.
 0.94753517 0.         0.         0.99089706 1.         1.
 1.         0.         0.         0.         0.37724002 1.
 0.02030155 1.         0.         1.         1.         0.98224484
 0.         0.         1.         0.12511445 0.         1.
 1.         0.06117461 0.         0.         1.         0.
 1.         1.         0.         0.         0.0636607  0.
 0.32655153 1.         0.         0.66952179 0.         0.78930838
 1.         1.         1.         1.         0.98398002 0.01595502
 0.08313014 1.         1.         0.97668415 1.         0.
 0.         0.         1.         0.58210112 0.01538287 0.
 1.         0.         0.         1.         1.         0.
 0.         0.12636352 0.63831597 1.         1.         0.87914095
 0.95247144 0.99994259 1.         0.89616403 0.74904637 0.85693775
 0.07357851 1.         1.         0.         0.95331987 0.17928891
 0.8397529  1.         1.         1.         0.98868207 1.
 1.         0.85261233 0.03588785 0.         1.         0.
 0.         0.749424   0.06324954 0.         0.86210832 0.
 0.         0.37152988 1.         0.         0.         0.
 1.         0.         0.         0.         1.         1.
 0.         0.         0.         0.         1.         0.
 0.         1.         0.93191829 0.10524536 1.         0.
 0.46539853 0.03323363 0.         1.         0.         0.91425839
 1.         0.         1.         0.         0.72380148 0.17299273
 0.         0.         0.         1.         0.         0.08717029
 1.         0.        ]",-3.2379123762031043,COMPLETE
8,0.7641601313659601,0.4428630002834677,42,243,"[0.         0.92563189 0.82371054 0.         1.         0.
 1.         0.28182661 0.99013531 0.66058965 0.75099128 0.18712792
 0.16367268 1.         0.94589928 1.         0.3168506  0.84236589
 0.40165079 0.         1.         1.         0.57381404 0.37611793
 0.         0.74738272 0.36275541 0.         0.01093511 0.
 0.58139932 0.11159478 0.6098416  1.         1.         0.
 0.03714987 0.28604172 0.94097633 0.33627927 0.4075455  0.04789343
 0.72535993 1.         0.         0.88965196 0.         0.00297824
 0.         0.442863   1.         0.         0.72465287 0.0479868
 0.12537729 0.14450302 1.         1.         0.32037524 0.6968247
 0.60897739 0.         0.         1.         1.         0.96068264
 0.31597836 1.         0.         0.99021539 0.1492082  0.72996294
 0.75380191 0.76717296 0.         0.79131908 0.27485894 0.
 0.86594962 0.         0.33771189 0.         0.89414557 0.41192794
 0.12470307 1.         0.89993555 0.47789379 0.         0.78380306
 1.         0.8967409  0.         0.37591029 0.05483679 0.04162883
 0.557137   0.40715968 0.         0.83611904 0.         0.
 0.21871603 1.         1.         1.         1.         0.
 0.76291937 0.         0.25728696 0.00488456 0.42069388 0.67905424
 1.         1.         0.         0.7784831  0.         1.
 1.         0.         0.40583085 0.         1.         0.08013651
 0.99575521 0.         1.         1.         0.69683839 0.
 0.         0.99316179 1.         0.28839812 0.         0.15032936
 0.96076936 0.         0.57647781 0.96779211 0.97021159 0.44457543
 0.06637152 1.         0.         1.         0.42248997 0.70170294
 0.16067434 0.15313167 0.48621664 1.         0.         0.
 1.         1.         0.66309039 1.         0.         0.
 0.         0.         0.48331697 0.15835136 0.45340054 0.43311436
 1.         0.94504025 0.07460207 0.24216291 1.         0.75357701
 0.         0.01735868 1.         1.         1.         1.
 0.62845535 0.1585501  1.         1.         0.         0.2114299
 0.10374459 0.12246526 1.         0.59077604 0.03383183 1.
 0.         0.00813154 0.46877574 1.         1.         0.04845422
 0.38557687 0.        ]",-2.7256783341746917,COMPLETE
9,0.2701457415914653,0.48922833951137423,186,151,"[5.35596484e-02 9.71082860e-01 8.91473798e-01 0.00000000e+00
 1.00000000e+00 0.00000000e+00 9.48431538e-01 0.00000000e+00
 3.63415564e-02 1.00000000e+00 0.00000000e+00 9.32600997e-01
 1.00000000e+00 8.99919817e-01 5.64347004e-01 0.00000000e+00
 5.93786873e-01 9.81421792e-01 0.00000000e+00 1.91776411e-01
 5.04237093e-02 5.74487484e-02 3.81272112e-01 1.41290405e-01
 2.93975500e-02 3.43593233e-01 7.91085244e-01 0.00000000e+00
 1.00000000e+00 0.00000000e+00 9.46186460e-01 5.89158448e-03
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 7.26952307e-01 1.61650473e-01 2.93709408e-02 0.00000000e+00
 1.00000000e+00 5.85777259e-01 5.21722054e-01 6.78153660e-01
 9.66411488e-01 7.23715554e-01 1.66161200e-01 2.90554508e-01
 9.06507327e-01 0.00000000e+00 1.93627682e-01 9.61955802e-01
 2.31101800e-01 1.07395426e-02 0.00000000e+00 0.00000000e+00
 0.00000000e+00 9.27549312e-01 0.00000000e+00 9.92210168e-01
 4.96774324e-01 4.13947394e-01 2.73654320e-01 0.00000000e+00
 9.84449299e-02 8.81686515e-01 1.23864703e-04 9.96592034e-01
 2.22582881e-01 9.30628119e-01 3.59062394e-01 0.00000000e+00
 1.00000000e+00 9.39836837e-01 1.00000000e+00 0.00000000e+00
 1.00000000e+00 7.95189653e-02 8.95570612e-01 1.00000000e+00
 0.00000000e+00 1.00000000e+00 2.58457475e-02 8.49574768e-01
 0.00000000e+00 3.69706935e-02 0.00000000e+00 0.00000000e+00
 0.00000000e+00 8.69232887e-01 9.98628778e-01 7.17332843e-01
 1.00000000e+00 7.16202316e-02 4.39174368e-02 7.61081202e-03
 0.00000000e+00 5.37095962e-01 0.00000000e+00 1.00000000e+00
 9.49946040e-01 0.00000000e+00 1.78778088e-02 1.00000000e+00
 1.80712685e-02 5.02431104e-02 1.00000000e+00 0.00000000e+00
 1.32326453e-02 0.00000000e+00 7.14704761e-02 0.00000000e+00
 0.00000000e+00 1.00000000e+00 1.00000000e+00 1.00000000e+00
 5.72160076e-02 1.00000000e+00 1.00000000e+00 0.00000000e+00
 3.93097436e-02 0.00000000e+00 0.00000000e+00 1.00000000e+00
 0.00000000e+00 1.00000000e+00 8.14229836e-01 1.00000000e+00
 5.41072289e-01 1.00000000e+00 1.00000000e+00 0.00000000e+00
 5.17055734e-01 0.00000000e+00 0.00000000e+00 0.00000000e+00
 8.94837261e-01 9.39024966e-01 0.00000000e+00 9.73026964e-01
 1.00000000e+00 6.19712825e-01 0.00000000e+00 0.00000000e+00
 1.00000000e+00 1.11194592e-01 0.00000000e+00 9.51950316e-01
 1.00000000e+00 1.00000000e+00 1.00000000e+00 5.17929032e-02
 0.00000000e+00 1.00000000e+00 2.67118289e-02 9.89219095e-01
 1.00000000e+00 1.00000000e+00 2.11882788e-01 0.00000000e+00
 1.00000000e+00 1.00000000e+00 1.00000000e+00 1.00000000e+00
 3.23979566e-01 1.00000000e+00 5.77929799e-01 3.98557386e-01
 0.00000000e+00 1.00000000e+00 0.00000000e+00 9.52410414e-01
 1.00000000e+00 6.80922331e-01 8.32787191e-01 6.20146622e-01
 9.79798446e-01 1.00000000e+00 0.00000000e+00 8.84103207e-01
 1.18646920e-02 1.00000000e+00 1.00000000e+00 1.94311577e-01
 6.08847752e-01 1.00000000e+00 0.00000000e+00 1.00000000e+00
 1.00000000e+00 0.00000000e+00 4.23103673e-02 3.10477505e-01
 2.57445373e-02 8.11667743e-01 5.40675258e-02 9.42724882e-01
 0.00000000e+00 8.66028054e-01 1.00000000e+00 9.75091091e-02]",-3.7857937934528203,COMPLETE
