trial_number,state,kernel,gamma,c,mse,rmse,mae
0,COMPLETE,linear,0.00253746617028881,27.36030813435449,0.24022541339682715,0.49012795614699145,0.3009699426479878
1,COMPLETE,linear,0.0005892434160976892,4.100520132879933,0.21476051791777936,0.463422612652619,0.29729765630129645
2,COMPLETE,poly,0.03604630617996594,0.06243464171149761,0.17563082532732682,0.4190833154962469,0.3012175723667403
3,COMPLETE,linear,0.005580421244956257,5.433617574989793,0.21754834708598655,0.4664207832912107,0.2975339986419285
4,COMPLETE,rbf,0.0015188226098671231,3.9464854303207417,0.20805501920351363,0.45613048484344215,0.33681905377224153
5,COMPLETE,rbf,0.0002137847250507136,8.157017513107622,0.28172838398320693,0.5307809190082166,0.3971229058946675
6,COMPLETE,poly,0.009353066723508559,25.249186576832685,0.0891878690136082,0.29864338099748367,0.19208763862650027
7,COMPLETE,linear,0.0026632356527758593,0.01633270418079807,0.22001262755136927,0.46905503680417854,0.34575620398358914
8,COMPLETE,poly,0.00015284406255170087,41.180067060608266,1.0058171297808283,1.0029043472738706,0.8125306884751877
9,COMPLETE,poly,0.080968069333022,0.21538503930556235,0.0610136382901944,0.24700938907295486,0.15033464429186694
10,COMPLETE,poly,0.08574227205025091,0.2910504865347769,0.05649817863750133,0.23769345518440624,0.14245083742335185
11,COMPLETE,poly,0.0985764774516394,0.3083357925047381,0.055777608522342655,0.23617283612291795,0.1358718073757886
12,COMPLETE,poly,0.023321063217685067,0.5002347252836508,0.1313702926907448,0.3624504003180915,0.251096601412278
13,COMPLETE,poly,0.09422799398997564,0.18743904606666106,0.05799417859939591,0.24081980524740051,0.14491496372240079
14,COMPLETE,poly,0.018984022723437646,0.8061865909109619,0.13848127598468105,0.3721307243223556,0.2599730096242778
15,COMPLETE,poly,0.05337627309141496,0.03911726741023615,0.13461535946879366,0.3668996585836428,0.2551219075242736
16,COMPLETE,rbf,0.012727073722148645,0.1765889480447498,0.2164348646155518,0.4652256061477612,0.34191766466769485
17,COMPLETE,poly,0.03458993016844088,0.9815246328413018,0.0739712842137446,0.2719766243884658,0.16997309286256918
18,COMPLETE,poly,0.09783757222677365,0.011744395086191064,0.10705499969366243,0.32719260336025696,0.2185525086366152
19,COMPLETE,rbf,0.007976531121327174,0.06403976417227542,0.39318777870954824,0.6270468712221984,0.4734750551015199
20,COMPLETE,poly,0.0008321871336640178,0.38199915414819685,1.005211714019136,1.0026024705830003,0.8122575343467026
21,COMPLETE,poly,0.057311149697786744,0.13751595573082834,0.08321784265954969,0.28847502952517345,0.18367706561812178
22,COMPLETE,poly,0.09775944983170795,1.5785820703260651,0.057183166011298504,0.23913001905093076,0.11981491078376948
23,COMPLETE,poly,0.033741894838259706,1.9019047627254664,0.06644305413854068,0.257765502227394,0.15830239393804638
24,COMPLETE,poly,0.05212428131491882,1.862127795583773,0.055334578774828225,0.23523303079038077,0.13698592254625894
25,COMPLETE,poly,0.017344693870974245,0.4235037530131534,0.19534284886555736,0.44197607272968675,0.3203179836624845
26,COMPLETE,poly,0.04703166305183882,1.7786268318675695,0.05641625788238213,0.23752106829159836,0.14229632717417898
27,COMPLETE,poly,0.041989848908722725,12.378767305777346,0.05603882968204183,0.23672521978454647,0.12352283683144445
28,COMPLETE,linear,0.024865009558097367,11.634483089521801,0.232492376648709,0.4821746329378071,0.29946778333105273
29,COMPLETE,rbf,0.005841976398118659,98.48236361836288,0.04422997451793742,0.21030923545564378,0.14427023093119748
30,COMPLETE,rbf,0.006715804625435798,50.98266690745454,0.04906311080373267,0.22150194311502702,0.15157274980089835
31,COMPLETE,rbf,0.004578131347647007,84.0321458957485,0.05293289894530891,0.230071508330147,0.15691924854214784
32,COMPLETE,rbf,0.004683821423275031,84.07296706547132,0.05232774483428747,0.22875258432264206,0.15583968097009754
33,COMPLETE,rbf,0.003791538752977572,95.7053557327459,0.05616120264960372,0.23698354932274038,0.16199806050332363
34,COMPLETE,rbf,0.004012726730937443,42.93457445908738,0.06365808597999924,0.25230554092211144,0.1750607078580215
35,COMPLETE,rbf,0.002039833034667269,89.73894427295795,0.07331633234559419,0.27076988818107933,0.18722291718536427
36,COMPLETE,rbf,0.005390311502447912,57.28246835301468,0.05350209308187016,0.231305194671175,0.15841842908688267
37,COMPLETE,rbf,0.0012585682978572361,20.230310475259273,0.14719556411794502,0.38366074091304286,0.27585649952144076
38,COMPLETE,rbf,0.0064742885270766565,59.53459233530354,0.04809743005215581,0.21931126293958506,0.14994436122596072
39,COMPLETE,rbf,0.0070967107313848355,22.910500890310857,0.056835156653880975,0.23840125136811044,0.16550741384294582
40,COMPLETE,rbf,0.01131215043049267,41.47342548699373,0.03849707158047598,0.19620670625765058,0.13617965704002274
