trial_number,state,iterations,learning_rate,depth,l2_leaf_reg,mse,rmse,mae
31,COMPLETE,691,0.10366386486769393,4,0.008567748470849823,0.0964800890168552,0.31061244182558945,0.21738716182743115
32,COMPLETE,774,0.1391673177064187,4,0.002547154720788688,0.09692435915453129,0.3113267723060953,0.2173915874386338
33,COMPLETE,867,0.06870217168077779,4,0.0028454681709169697,0.09048065287225467,0.30080002139669915,0.2114690819203041
34,COMPLETE,876,0.09489789331366316,4,0.00041126394169427424,0.09162516448126724,0.3026964890468128,0.20917685421594298
35,COMPLETE,862,0.09072201142258217,5,9.352241003363991e-05,0.10267619330308905,0.3204312614322907,0.22314784506384452
36,COMPLETE,816,0.17832646662542187,4,0.00044156419429932774,0.10264890526283225,0.32038867842486607,0.2228185050526651
37,COMPLETE,948,0.060697969678525865,5,6.148764697401057e-05,0.09450440067144512,0.30741568058810065,0.21841369439384062
38,COMPLETE,765,0.06448237581434942,4,0.0005606049125454701,0.09061883743650245,0.30102962883494117,0.21131231479409052
39,COMPLETE,759,0.044837767108292084,5,0.003783886204575208,0.09533451232393772,0.30876287394040386,0.21872064940129146
40,COMPLETE,827,0.04510292365748508,4,0.00015305755235435492,0.09486030449997504,0.3079940007532209,0.21630074888751538
41,COMPLETE,925,0.06524600454770933,4,0.0006016790803215358,0.09325742691701668,0.3053807900261846,0.2127755150277495
42,COMPLETE,852,0.09462085840435219,4,0.0017133610043244957,0.09121112573859251,0.3020117973500249,0.2084121889539592
43,COMPLETE,677,0.08667926764239513,5,0.0012998057379609085,0.09421114417356266,0.30693833936731113,0.2150400534794891
44,COMPLETE,786,0.05062032262486312,4,0.004759469380461992,0.0910047327897662,0.3016699070006258,0.21487688321789983
45,COMPLETE,661,0.0375009071584537,4,0.0048716959720224535,0.10172738640247952,0.3189473097589624,0.22931288837685782
46,COMPLETE,772,0.05921035957892706,4,1.1340605014730573e-08,0.09538834761843559,0.30885004066445515,0.21570790964059675
47,COMPLETE,785,0.027762125609244435,5,0.004569934419449518,0.10083161328370809,0.3175399396669781,0.22767030046608955
48,COMPLETE,583,0.051555513002907234,10,7.09507464264282e-07,0.17871737604753427,0.42274977947662407,0.29839057698428506
49,COMPLETE,653,0.04041144761089856,7,0.009661711796079055,0.11157005466755811,0.33402103925884385,0.2349346567113644
50,COMPLETE,917,0.026753316168782574,5,0.0020154665422595108,0.09969161307665159,0.315739786971252,0.22609769090102977
51,COMPLETE,843,0.05033722669957172,4,0.0018083141689178614,0.09010111923115867,0.30016848474008506,0.21152543345651528
52,COMPLETE,810,0.05228375775820471,4,0.00025721627003518735,0.09155291218642066,0.3025771177508647,0.21591935564583353
53,COMPLETE,989,0.06850499883180501,4,0.0031920280501633743,0.09064965156886197,0.30108080571312074,0.21021756419845175
