trial_number,state,kernel,gamma,C,mse,rmse,mae
0,COMPLETE,linear,0.003913515648020544,0.08529298465080307,0.21989274495813194,0.4689272277850071,0.3443069439390319
1,COMPLETE,linear,0.0036984862977713067,0.8195343912941568,0.2205564547649991,0.4696343841383413,0.34564820706530625
2,COMPLETE,poly,0.013712723599669366,3.0111222251271013,0.14503754444578446,0.38083795037493895,0.2829516096441309
3,COMPLETE,poly,0.0010030489705538156,0.07502469581683284,0.9387861183099595,0.9689097575677311,0.8157640699778804
4,COMPLETE,linear,0.0009255340046547168,0.019220796427135513,0.23888139590184693,0.48875494463160873,0.36161566131417866
5,COMPLETE,poly,0.0010873887511663955,86.89559256549153,0.5633215690750316,0.7505475128697927,0.5768762851543305
6,COMPLETE,poly,0.019610126450170427,56.91354705657853,0.08159750491064363,0.2856527698284118,0.20357391604088695
7,COMPLETE,linear,0.025302746180755568,3.5723600542966367,0.2342971591475285,0.48404251791297065,0.353717483303634
8,COMPLETE,poly,0.0001247453797044984,0.6634241679376875,0.9398132863591818,0.9694396764931699,0.8164432268513467
9,COMPLETE,linear,0.00013083890261994982,0.6105083807148418,0.21788796603411098,0.46678471058305987,0.3441925506902512
10,COMPLETE,rbf,0.07244162339275574,47.851585130323556,0.08552706793631333,0.2924501118760486,0.1950231231114499
11,COMPLETE,rbf,0.09043550711370334,94.05317730765385,0.08762855009495622,0.29602119872562543,0.19696334060439896
12,COMPLETE,rbf,0.09222934458879155,14.527400778608497,0.08827480347244743,0.29711075960396893,0.19764731316556414
13,COMPLETE,rbf,0.03847412305087318,18.646692551692812,0.07634780198105316,0.2763110601858948,0.19109371404050596
14,COMPLETE,rbf,0.016661436606139085,19.99368369101424,0.0694110418013883,0.2634597536653147,0.18926338733941891
15,COMPLETE,rbf,0.009015665084621871,11.332780235185902,0.09800095341208041,0.3130510396278543,0.2124007734391866
16,COMPLETE,rbf,0.03004770357377236,10.28981243698702,0.0706358031696586,0.26577397007543574,0.18802767083955518
17,COMPLETE,rbf,0.007797669467855811,3.2440819647575028,0.14255089694658712,0.37755913039759365,0.27244599472944653
18,COMPLETE,rbf,0.04023650661100051,6.52556495258193,0.07345366240661509,0.27102336136690336,0.18762427845323737
19,COMPLETE,rbf,0.0072588665752613205,25.151723085128427,0.08820952623437461,0.2970008859151343,0.2046410751901559
20,COMPLETE,rbf,0.039962535461488674,1.746777076514763,0.09278590025979683,0.3046077810230671,0.20225235534870178
21,COMPLETE,rbf,0.03752421678415766,9.39385991766387,0.07301341013073238,0.2702099371428304,0.18766685712110792
22,COMPLETE,rbf,0.016567786304745914,7.146557882493969,0.08439597929417422,0.29050986092415904,0.19888687827924398
23,COMPLETE,rbf,0.03129269631572291,25.794152638731934,0.07438821025532733,0.27274202143294185,0.1907600605840479
24,COMPLETE,rbf,0.0019387031523265123,0.21478579125180813,0.6026019628693797,0.7762744120923861,0.6008726121094791
25,COMPLETE,rbf,0.054055651754690424,7.344179763964231,0.07867863702635891,0.2804971248094335,0.18997259107346576
26,COMPLETE,rbf,0.011154910027044081,35.679772905568925,0.07057258632166907,0.2656550137333551,0.1910380711301831
27,COMPLETE,rbf,0.009985537073797714,35.94626121142762,0.07183976663837542,0.26802941375598205,0.19285896291112511
28,COMPLETE,rbf,0.005122469816828181,1.7552854749020912,0.2039940054599273,0.45165695550929724,0.33384924736148397
29,COMPLETE,rbf,0.0019791354454861006,42.030439721785584,0.13680343317480456,0.36986948126981845,0.270279628134104
30,COMPLETE,linear,0.01585007136956008,19.107890553272217,0.23891129483313178,0.48878553050712514,0.3563847652871055
31,COMPLETE,rbf,0.012079472729922191,46.00335406299906,0.06868614024283762,0.26208040797212906,0.18929082596221866
32,COMPLETE,rbf,0.005285624716993823,72.88086264848629,0.0765645109492328,0.2767029290579209,0.1983088311024649
33,COMPLETE,rbf,0.01145854112478484,35.38425039792209,0.0703349287935469,0.2652073317115251,0.1907368263855651
34,COMPLETE,rbf,0.012157288850582643,27.676115958573764,0.07085469375278862,0.26618544992690457,0.19134674065620705
35,COMPLETE,poly,0.0033382791906466374,0.01081364590165078,0.9340561463770956,0.9664658019697828,0.8129848997116036
36,COMPLETE,linear,0.004973898392681479,44.08948584366654,0.2412515808562626,0.4911736768763801,0.3573052142504586
37,COMPLETE,rbf,0.002365389830169938,5.356728533770014,0.20756034219308672,0.4555879083042994,0.3362067436770611
38,COMPLETE,poly,0.0214454589724195,0.29903092047562657,0.18618029004623945,0.43148614119834655,0.31919741704679894
39,COMPLETE,rbf,0.0003826951747758525,0.04600474479282639,0.8964651125582117,0.9468184158317854,0.7886047840441474
40,COMPLETE,linear,0.014469506649111768,63.71841334391035,0.24048458698348119,0.490392278674411,0.35712257705601014
41,COMPLETE,rbf,0.02443741730757608,13.948381942009462,0.06948651985948219,0.26360295874569045,0.18836343558069565
42,COMPLETE,rbf,0.01995161672698541,16.1198620778937,0.06937932842029873,0.26339956040263,0.188631631408038
43,COMPLETE,rbf,0.019060173532564763,16.295259890576382,0.0694758541861597,0.26358272740481253,0.18883755526922089
44,COMPLETE,poly,0.02189721083926447,4.294394941304682,0.09311707447238894,0.3051509044266278,0.22399935584942157
45,COMPLETE,rbf,0.05600941836784893,20.39944612371797,0.08299113982484298,0.28808182834889634,0.19462799363729932
46,COMPLETE,rbf,0.027306073287532713,14.108416157755652,0.06980715257409979,0.2642104323718119,0.18767271521111745
47,COMPLETE,rbf,0.019543545372065912,1.9796268839740707,0.11272442328798803,0.3357445804298083,0.2291995089181388
48,COMPLETE,linear,0.007315064104618385,91.91294616301407,0.2402576141403525,0.4901608043697012,0.35728989087742036
49,COMPLETE,rbf,0.05798930334256335,14.46426525416858,0.08258131929567276,0.28736965618463056,0.19389195502010637
50,COMPLETE,poly,0.01644052428484048,58.658999772144924,0.08022812688565924,0.2832457005598836,0.20426704876010035
51,COMPLETE,rbf,0.02756264669454859,12.950783851554311,0.06989980275725263,0.264385708307489,0.18785086359762876
52,COMPLETE,rbf,0.026749901144234284,18.392713785958264,0.07002278852222485,0.26461819386093777,0.18747986017235474
53,COMPLETE,rbf,0.021106875875107647,8.758030922406606,0.07134505428705608,0.2671049499486224,0.19051626878167863
54,COMPLETE,rbf,0.046606186815493354,5.225398461856701,0.07513255181339419,0.27410317731356965,0.18774144012113939
55,COMPLETE,rbf,0.06651836755261373,14.514685349544704,0.08488960342211344,0.2913582046589961,0.19499639947788852
56,COMPLETE,rbf,0.02947741870884875,24.86918305388395,0.0730325560268035,0.2702453626369998,0.18964771798162278
57,COMPLETE,rbf,0.008744053799433698,2.7558360532710244,0.14168766400003613,0.37641421864753744,0.2709362946601219
58,COMPLETE,rbf,0.08204227896194836,10.76514680132156,0.08748497799687295,0.29577859624535535,0.19655321455612706
59,COMPLETE,rbf,0.03600218196409846,0.9184024958178786,0.11069009037492157,0.33270120284561877,0.22572849278396898
60,COMPLETE,rbf,0.014163923829887286,54.162695241619105,0.06761562001270238,0.2600300367509538,0.18816173221178972
61,COMPLETE,rbf,0.012877536949853993,30.35559511586499,0.06989852851665562,0.2643832984828195,0.1902916542886904
62,COMPLETE,rbf,0.018241362599238566,54.81063674539205,0.06927538838760154,0.26320218157834774,0.18844354317198053
63,COMPLETE,rbf,0.018013805076288636,52.93194704280535,0.06890921511267964,0.2625056477729187,0.18807647185398307
64,COMPLETE,rbf,0.006610659375825803,57.5796200576097,0.07483207819984124,0.2735545250947994,0.19675825312081152
65,COMPLETE,rbf,0.015080859391716186,83.19053361744456,0.06896836704463544,0.26261829152714294,0.18875843953056928
66,COMPLETE,rbf,0.009991368719929207,91.74071280240653,0.06788584708097824,0.26054912604147845,0.1893246775968852
67,COMPLETE,rbf,0.009586739953514202,92.92614425895093,0.06805908851365723,0.2608813686595063,0.18950284107271542
68,COMPLETE,linear,0.009788456363467762,97.64680581042373,0.24036855533073007,0.49027395946626623,0.3573642775190607
