trial_number,CR,F,G,size,best_positions,best_total_power,state
0,0.968540662820932,0.8860864625126346,113,191,"[1.00000000e+00 2.89872069e-01 1.00000000e+00 4.03773996e-04
 9.99775028e-01 2.55970762e-01 1.00000000e+00 6.47489323e-01
 1.00000000e+00 7.17754333e-01 8.47041678e-01 8.74595423e-01
 9.74623987e-01 1.43639678e-01 9.45911907e-01 2.25636296e-01
 9.10611019e-01 2.59864693e-01 1.00000000e+00 2.34706621e-01
 8.31026982e-01 1.71480557e-01 9.01600099e-01 1.60293713e-01
 9.34329625e-01 1.56737364e-01 7.20711283e-01 1.73763840e-01
 2.42602113e-01 7.45614847e-01 8.61595892e-01 1.00000000e+00
 1.00000000e+00 6.99218003e-02 1.00000000e+00 1.00000000e+00
 4.02261440e-01 1.00000000e+00 6.87635458e-01 1.00000000e+00
 9.42893654e-01 3.53196899e-01 3.47346710e-01 8.23232239e-01
 8.42323265e-01 1.00000000e+00 8.18268489e-01 1.00000000e+00
 5.17550435e-01 7.02383119e-02 1.00000000e+00 7.80653029e-01
 4.01299114e-01 9.40212122e-01 4.03247889e-01 6.65360526e-01
 8.76247149e-01 6.98446147e-01 5.83564911e-01 1.00000000e+00
 3.75144123e-02 1.00000000e+00 4.51063294e-02 1.00000000e+00
 8.83840950e-01 4.39652479e-01 7.98259032e-01 7.45805693e-01
 1.86497158e-01 1.72551564e-01 1.74973738e-01 9.77993718e-01
 7.84964023e-02 9.30949615e-01 1.19770390e-01 1.00000000e+00
 8.13997673e-02 9.09914467e-01 5.13574814e-02 1.00000000e+00
 7.10843465e-01 3.58288203e-02 4.67209152e-02 1.17104753e-01
 2.08320394e-01 1.00000000e+00 2.97885915e-01 9.20449314e-02
 3.49771994e-01 8.08425160e-01 2.46158505e-01 6.84812403e-01
 3.55115040e-01 5.22139432e-01 1.66091752e-02 1.00000000e+00
 6.12941949e-02 1.00000000e+00]",-3.5875174977380353,COMPLETE
1,0.011398804277429897,0.3094554951795616,62,42,"[0.98890669 0.8539429  0.04475704 0.36234505 0.64345538 0.97272198
 0.2363082  0.46776786 0.44421498 0.32951856 0.83237919 0.72540838
 0.02283869 0.77018824 0.21826593 0.68928511 0.91481736 0.15446599
 0.50823534 0.82680128 0.09115322 0.38754751 0.01764513 0.83178634
 0.13317236 0.07253563 0.59637776 0.30977057 0.18054063 0.56105296
 0.72966796 0.13694996 0.11366383 0.40675478 0.76296022 0.43669911
 0.4105666  0.28739311 0.6564346  0.78939087 0.78709504 0.64520024
 0.88174931 0.10230227 0.64753962 0.28077095 1.         0.65141591
 0.02849741 0.82621908 0.19713336 0.02930752 0.67602163 1.
 0.44748691 0.02339192 0.40975108 0.96696579 0.08804101 0.83113934
 0.98967489 0.23250365 0.24989232 0.72183709 0.01381166 0.49585916
 0.64583952 0.56474264 0.06144857 0.88384712 0.48285657 0.23065187
 0.89953011 0.81652083 0.83549674 0.03066344 0.45192829 0.17715016
 0.39995826 0.15549552 0.07522255 0.16416363 0.10851288 0.00833971
 0.31436865 0.77078379 0.90371583 0.60587749 0.1514712  0.49525341
 0.37978378 0.85391054 0.95164101 0.2127654  0.78790305 0.4713402
 0.15364389 0.29650438]",-0.2461472155258626,COMPLETE
2,0.47839179580240243,0.5704072042173127,119,65,"[0.70712082 0.09379438 0.96988176 0.78657369 0.36692026 0.30078303
 0.19246224 0.75574567 0.91083999 0.65134654 0.87202708 0.58335411
 1.         0.22336436 0.73046219 0.07496594 0.31996095 0.45787477
 0.647025   0.28411283 0.58230301 0.07367232 1.         0.97743023
 0.84579683 0.04228398 0.45013704 0.41316606 0.62752921 0.7529594
 0.42335567 1.         0.67981183 0.17044365 0.98429202 0.67431181
 0.93245337 1.         0.64757417 0.91327594 0.88627715 0.46589606
 0.44288379 0.78584587 0.67311638 0.08416104 0.49105778 0.24031518
 0.21611227 0.0084088  0.46457549 0.47607818 0.65806809 0.19266251
 0.94117352 1.         0.88603852 0.91482074 0.20301574 0.97405625
 0.09887653 0.28304787 0.06711115 0.92295806 1.         0.31060872
 0.14015506 0.91199113 0.08122758 0.0857663  0.10524278 0.78722579
 0.06756246 0.96869175 0.64386612 0.64151866 0.03639773 0.91546614
 0.11768409 0.08571411 0.44566221 0.28959722 0.08030081 0.16268125
 0.4239019  0.94397284 0.22118262 0.49346161 0.21932478 0.12274274
 0.01320721 0.04404017 0.38423259 0.58114326 0.90359089 0.71988502
 0.15753011 0.11097976]",-1.9589384993900323,COMPLETE
3,0.7123745740820913,0.784806018042636,69,81,"[0.58357093 1.         1.         1.         1.         1.
 0.13891786 0.21205058 0.27867683 0.12327981 0.19206528 1.
 0.37774643 0.25198574 0.71142536 0.78329502 1.         0.17805181
 1.         0.42728981 0.4709087  0.69512308 0.69605071 0.4869461
 1.         0.36120144 1.         0.88832804 0.51692556 0.82812128
 0.30844965 0.99296399 1.         0.39428712 1.         0.47396536
 0.26851469 1.         1.         1.         0.85424656 0.77368134
 0.06119567 0.03805516 0.9575524  0.3625183  0.95680156 0.35887785
 0.2391925  0.76865226 0.81272322 0.27976609 0.93866048 0.51019289
 0.31259715 1.         0.35210281 1.         0.62749163 0.92496767
 0.67661498 0.68419245 0.21675767 1.         0.28122607 0.24675469
 0.10814577 0.72327058 0.13925508 0.97038004 0.69471502 1.
 0.02035459 0.59855106 0.06620642 0.89030441 0.0902152  0.61124566
 0.25496214 1.         1.         0.20218167 0.28813334 1.
 0.16623093 0.29686422 0.21247663 0.55615001 0.34678073 0.42635727
 0.10395138 0.58973769 0.1058867  0.21328803 0.31030623 1.
 0.14545902 0.41515676]",-2.077545520757927,COMPLETE
4,0.9738552412004462,0.3601675252162789,26,30,"[0.90859516 0.62520867 0.95081172 0.99203926 0.9584662  0.99788591
 0.50539853 0.67469898 0.99711043 1.         0.86509527 1.
 0.26765077 0.41120242 0.98365358 0.37389369 0.73003867 0.98726896
 0.89762357 0.51181198 0.91992156 0.48973156 0.47475184 0.43118534
 0.91216188 0.03275742 0.98993058 0.12919963 0.99962081 0.97766746
 0.38702498 1.         0.20544576 0.02498192 0.48964917 0.17375241
 0.58466724 0.98390573 0.95917768 1.         1.         0.13359382
 1.         0.27444625 0.14256104 0.26700518 0.89402146 0.07408307
 0.2281963  0.34087002 0.9973264  0.07487469 0.02799122 0.10719761
 1.         0.27408667 0.69547866 0.30668155 0.64357707 0.77630713
 0.99923035 0.614898   0.76606851 0.94650875 0.52133275 0.12576651
 0.97460495 0.97895005 0.07814944 0.61684575 0.15365571 0.99857495
 0.99462481 0.46633767 1.         0.83966478 0.28384425 0.22003659
 1.         0.61474532 0.05276865 0.93071941 0.01520647 0.54140163
 0.02645211 0.96770694 0.41591771 0.94438923 0.09973887 0.90861492
 0.01601073 1.         0.33373262 0.92014193 0.59384576 1.
 0.15900767 0.7710788 ]",-2.12794372306366,COMPLETE
5,0.9828705465534338,0.1592275490084903,43,15,"[0.98070157 1.         0.29079511 0.90556729 0.49336147 0.78247444
 0.01725316 0.99994514 0.68152747 0.01605255 0.81642075 0.81508725
 0.15493305 0.99992162 0.31820773 0.37492726 0.90629842 0.46306682
 0.58190048 0.46921875 0.03703784 0.44693384 0.90821873 0.12613049
 0.78893607 0.14423823 0.08505372 1.         0.18065854 0.39569833
 0.48077552 1.         1.         0.92061664 0.00135111 0.52541664
 0.89939588 0.02330198 1.         0.96414292 0.87169896 0.83451701
 1.         0.0875281  0.0080144  0.00715702 0.00702177 0.43752068
 0.01986427 0.93465178 0.05745612 0.09536079 0.17503245 0.20212084
 0.99339179 0.55123304 1.         0.99990725 0.6667939  0.54480717
 0.55997154 0.29268672 0.07445717 0.64680716 0.01841976 0.01985952
 0.99999915 0.96779417 0.59455666 0.10872473 0.20499481 0.57766927
 0.30495212 0.19978054 0.67786255 0.61568698 0.62155836 0.63790419
 0.86162015 0.76575395 0.93994474 0.57454402 0.05611944 0.03173317
 0.05830034 0.14323703 0.29082191 0.51151632 0.01477912 0.99999895
 0.99973028 0.52360738 0.52421922 0.99997828 0.02402107 0.01696795
 0.00151578 0.23407093]",-1.234494043864022,COMPLETE
6,0.22476993896804542,0.16384856027517886,617,37,"[0.66948658 0.50873224 0.6591744  0.94202368 0.75693995 0.70383926
 0.95107434 0.72727166 0.0974043  0.33542748 0.89709334 0.8456136
 0.54878886 0.37418349 0.45625257 0.68355751 0.8695194  0.06534031
 1.         0.61909921 0.1138801  0.47249275 1.         0.02083551
 0.87763776 0.01618415 0.46233554 0.435369   0.63204568 0.92539125
 0.94102645 0.73029514 0.64635928 0.71950219 0.52191012 0.78162687
 0.99582128 0.1944529  0.51762313 0.88706886 0.28014974 0.42813375
 0.03736439 0.70921671 0.33204568 0.90025013 0.17116653 0.00589198
 0.34572289 0.15345947 0.97873886 0.16484986 0.92657181 0.4387081
 0.25155111 0.77496198 0.03751115 0.79636891 0.23352357 0.68730214
 0.30736162 0.0171654  0.66649267 0.6084626  0.36876405 0.12592287
 0.05025228 0.51377706 0.23519713 0.73247235 0.84579211 1.
 0.13725738 0.37082934 0.31412709 0.55654417 0.17016156 0.92456606
 0.36429483 0.13067599 0.35431636 0.91239596 0.16971472 0.39522728
 0.10217507 0.83245811 0.35942703 0.74967959 0.36413991 0.59371581
 0.77342061 0.64610622 0.43971946 0.62601214 0.78025199 0.6603391
 0.50817852 0.00917312]",-1.105615408018028,COMPLETE
7,0.9847494372852713,0.41091545079808034,49,10,"[1.         0.92356258 0.13080852 1.         1.         0.61666125
 1.         0.59393535 0.83526409 0.97829624 0.2445224  0.77065219
 0.14788125 0.9974631  1.         0.60466719 0.99438962 0.17147882
 0.75818261 0.98951574 0.11918214 0.05183639 1.         0.39947381
 0.31012933 0.96987569 1.         0.02659748 0.99978318 0.33511854
 0.00961155 1.         0.67571721 0.20988955 0.00498901 1.
 0.05480739 0.12980115 0.98564553 1.         0.81092212 0.98340913
 0.29982788 0.99980526 0.59994296 1.         0.07806807 0.01508897
 0.22258439 1.         0.99999724 0.98285642 0.75398118 1.
 1.         0.19761931 0.79740552 1.         1.         1.
 0.34615021 1.         0.38793879 0.9999644  1.         0.07533183
 0.99763993 0.11797647 0.99878127 0.92661844 0.92273495 0.04776587
 0.16488727 0.25729826 0.04894888 0.13082382 0.07972981 1.
 0.9735043  1.         1.         0.39191648 0.12251355 1.
 0.59789447 0.47533405 1.         1.         0.13769421 0.41160528
 0.14797358 0.01251118 0.87176582 0.03592072 0.13997804 0.40145679
 0.09992192 0.0050433 ]",-1.6528669337073407,COMPLETE
8,0.7641601313659601,0.4428630002834677,42,243,"[1.         0.71622398 1.         0.92039209 1.         0.30926684
 0.89486489 1.         0.27881602 0.85161079 0.18652798 0.71233491
 1.         1.         0.0476903  0.23427744 0.22627788 0.38755708
 0.91644737 0.02107853 1.         0.2162011  0.59250976 0.92242085
 0.45956559 0.14122948 1.         0.18715042 0.82744143 0.19252908
 0.69728581 0.84672141 1.         0.26835586 1.         0.26418425
 0.51222536 0.17195694 0.29408263 0.81739293 0.42712528 0.16735675
 0.66274406 0.08856338 0.90417091 0.84546541 0.93898442 0.10714921
 0.35699492 0.43013314 0.68483789 0.13154125 0.36140865 0.39967121
 0.7811067  0.2831205  0.95861475 1.         0.3528498  0.98002904
 0.12352351 0.77932181 0.10223971 0.74946145 0.59128727 0.75713676
 0.82362362 0.16533875 0.61085473 0.40544399 0.79960609 1.
 0.17521348 0.90788311 0.46624356 0.88306205 0.06251844 0.36038167
 0.4347892  0.84627533 0.63851908 0.71638914 0.29589366 0.53659993
 0.01798661 0.5028289  0.23954466 0.34008255 0.28553791 0.34950561
 0.00722517 0.91946644 0.18980578 0.81585457 0.15296189 0.33235962
 0.28456983 0.25822984]",-1.9823829982258327,COMPLETE
9,0.2701457415914653,0.48922833951137423,186,151,"[0.95453498 0.75012258 1.         0.47809375 1.         0.93043748
 0.92582473 0.0546241  0.69408897 0.18017859 0.77064655 1.
 0.50310627 0.42945211 0.21006968 0.8604176  1.         0.58438364
 0.86126511 0.13704736 1.         0.51167922 1.         0.36202829
 0.94111572 0.08619849 0.80708017 0.25321014 0.4790596  0.62738511
 1.         0.89195305 1.         0.45602785 0.06707625 0.2936693
 0.81416613 0.9125775  0.18990178 0.92687752 0.97176345 0.3993875
 0.36643655 0.6906346  0.78040722 0.26640458 0.26875014 0.11103424
 0.32399657 0.35693214 1.         0.96005653 0.1233596  0.48688151
 0.91319699 0.55493366 1.         0.96272832 0.24894536 0.96307151
 0.13202451 0.82818893 0.06149964 1.         0.25110367 0.89459806
 0.00586954 1.         0.04464843 0.99474052 0.47064923 0.88621532
 0.56574523 0.4206866  0.93208394 0.65796775 0.11339881 1.
 0.49171414 0.69989799 0.56210691 0.09447024 0.47745206 0.23124848
 1.         0.85688924 0.01799819 0.09904889 0.05657603 0.94346571
 0.07982189 0.05250642 0.84533128 0.27347076 0.0578005  0.03174988
 0.02141467 0.75265632]",-2.5833626732568353,COMPLETE
