trial_number,l1_smooth,dropout_rate,lr_max,n_epoch,num_layers,num_resblocks,num_units_layer_0,num_units_layer_1,num_units_layer_2,num_units_layer_3,num_units_layer_4,use_batchnorm,use_dropout,use_resblocks,mae,mse,rmse,state
10,0.0960729792714119,0.6014314681359467,0.007655121077778817,277,5,2.0,92,37.0,106.0,30.0,73.0,True,False,True,0.29564327001571655,0.21078743040561676,0.4591159224510193,COMPLETE
11,0.0777583047747612,0.5875454976452729,0.008936643894957876,217,5,2.0,82,35.0,102.0,27.0,79.0,True,False,True,0.26646655797958374,0.16318008303642273,0.4039555490016937,COMPLETE
12,0.0835801437497139,0.5768394378481152,0.008856340774090277,275,5,3.0,87,49.0,112.0,18.0,127.0,True,False,True,0.27646923065185547,0.17642028629779816,0.42002415657043457,COMPLETE
13,0.10625705868005753,0.5485916202411243,0.0008486407142875377,270,5,3.0,82,78.0,128.0,17.0,199.0,True,False,True,0.3238491117954254,0.223049595952034,0.47228124737739563,COMPLETE
14,0.2288314402103424,0.7788810309718237,2.3222134866278097e-05,168,2,2.0,16,115.0,,,,True,False,True,0.529858410358429,0.523627758026123,0.7236213088035583,COMPLETE
15,0.09659764170646667,0.3599130000498136,0.00810846506182856,174,5,3.0,103,25.0,17.0,20.0,128.0,True,False,True,0.29030442237854004,0.2082870751619339,0.4563848078250885,COMPLETE
16,0.13289114832878113,0.5401153551726643,0.0009688133082713699,22,4,2.0,64,41.0,218.0,37.0,,True,False,True,0.38934195041656494,0.2774343192577362,0.5267203450202942,COMPLETE
17,0.18162555992603302,0.6990341691242445,2.8833658349741818e-05,164,3,4.0,115,102.0,144.0,,,True,False,True,0.45632103085517883,0.3966482877731323,0.6298001408576965,COMPLETE
18,0.09612992405891418,0.5735425545462972,0.0020806633985230275,296,5,,56,56.0,91.0,16.0,90.0,True,False,False,0.29780569672584534,0.20795509219169617,0.45602095127105713,COMPLETE
19,0.5223602056503296,0.3786963254190024,9.67077515444249e-06,131,2,4.0,38,32.0,,,,True,False,True,0.9079148173332214,1.345569372177124,1.1599868535995483,COMPLETE
20,0.11208075284957886,0.24811767564558632,0.0005404604445344783,211,3,2.0,21,22.0,67.0,,,True,False,True,0.3437618315219879,0.23601453006267548,0.4858132600784302,COMPLETE
21,0.08526100963354111,0.6145372595682199,0.009782177749665128,238,5,2.0,78,37.0,104.0,30.0,60.0,True,False,True,0.28113964200019836,0.1818767786026001,0.4264701306819916,COMPLETE
22,0.08748134225606918,0.6428976977815392,0.00882784040888959,223,5,3.0,69,47.0,115.0,43.0,45.0,True,False,True,0.2908557057380676,0.18262773752212524,0.42734968662261963,COMPLETE
23,0.09570620954036713,0.5129592313469638,0.0034308614765503043,113,4,2.0,115,34.0,165.0,24.0,,True,False,True,0.2911112308502197,0.20253363251686096,0.4500373899936676,COMPLETE
24,0.09699245542287827,0.7195591739111709,0.003496256429244303,211,5,2.0,76,59.0,85.0,24.0,120.0,True,False,True,0.30381256341934204,0.20726102590560913,0.4552593231201172,COMPLETE
25,0.09881546348333359,0.6046000774603802,0.0017889622816300143,137,4,3.0,48,86.0,171.0,252.0,,True,False,True,0.3035282790660858,0.2109643965959549,0.4593086242675781,COMPLETE
26,0.07873960584402084,0.4270308191029514,0.00867911229581885,87,5,,139,22.0,101.0,53.0,53.0,True,False,False,0.27475088834762573,0.166671022772789,0.40825363993644714,COMPLETE
27,0.10166437923908234,0.4112707331281269,0.004403572473065077,34,1,,141,,,,,True,False,False,0.3314754068851471,0.21752996742725372,0.4664011001586914,COMPLETE
28,0.10035844147205353,0.3145241874472585,0.0004945904662692419,82,4,,121,22.0,49.0,48.0,,True,False,False,0.32603055238723755,0.220479354262352,0.46955230832099915,COMPLETE
29,0.11829323321580887,0.46790579390963943,0.0019147549176960772,19,5,,192,27.0,255.0,22.0,29.0,True,False,False,0.3753925859928131,0.24790070950984955,0.497896283864975,COMPLETE
30,0.08887992799282074,0.4565627906830283,0.005985875463211471,104,5,,94,21.0,70.0,59.0,204.0,True,False,False,0.2927417755126953,0.19194920361042023,0.438120037317276,COMPLETE
31,0.07594242691993713,0.5037505207893213,0.009781340596555983,223,5,,82,44.0,89.0,32.0,53.0,True,False,False,0.26988792419433594,0.15668126940727234,0.39582985639572144,COMPLETE
32,0.07625245302915573,0.5107210130948535,0.004647745518797601,171,5,,90,54.0,90.0,36.0,51.0,True,False,False,0.2667118012905121,0.1610272228717804,0.4012819528579712,COMPLETE
33,0.08582447469234467,0.512758123046455,0.0039016218199501647,146,5,,45,42.0,82.0,38.0,45.0,True,False,False,0.280901700258255,0.17973355948925018,0.4239499568939209,COMPLETE
34,0.33206865191459656,0.40816018814587374,0.0025850938331881553,112,4,,135,68.0,131.0,50.0,,True,True,False,0.7207675576210022,0.7169153094291687,0.8467084765434265,COMPLETE
35,0.07344802469015121,0.47662692106574417,0.005096148669849448,191,5,,168,136.0,67.0,35.0,59.0,False,False,False,0.2599760890007019,0.1556394249200821,0.3945116102695465,COMPLETE
36,0.3855869472026825,0.4768438808235118,0.0010212385636603073,188,4,,170,192.0,69.0,35.0,,False,True,False,0.7824954986572266,0.8491317629814148,0.9214834570884705,COMPLETE
37,0.09408212453126907,0.5355111346945813,0.005097614681523114,198,5,,29,158.0,58.0,26.0,34.0,False,False,False,0.30320122838020325,0.1973322629928589,0.44422096014022827,COMPLETE
38,0.09962169826030731,0.11003746629457922,0.00031271012050774794,151,4,,60,153.0,28.0,33.0,,False,False,False,0.32867008447647095,0.21522031724452972,0.46391844749450684,COMPLETE
39,0.43896591663360596,0.6534624674131262,6.711821259388084e-05,245,4,,206,118.0,38.0,28.0,,False,True,False,0.8375614285469055,0.9976795315742493,0.9988390803337097,COMPLETE
40,0.09793063253164291,0.4998833766955388,0.0013612932569486477,69,5,,70,78.0,51.0,68.0,84.0,False,False,False,0.321166455745697,0.209259033203125,0.45744839310646057,COMPLETE
41,0.08493030816316605,0.4472267729360445,0.005549099518281107,99,5,,167,16.0,97.0,43.0,55.0,False,False,False,0.28873151540756226,0.1837826669216156,0.4286987781524658,COMPLETE
42,0.07725439965724945,0.3150291047164684,0.0028702287586773647,123,5,,102,50.0,78.0,42.0,60.0,False,False,False,0.27661481499671936,0.15970616042613983,0.3996325433254242,COMPLETE
43,0.0804995596408844,0.2070923717075866,0.0031739565674318002,137,5,,102,54.0,77.0,41.0,70.0,False,False,False,0.2711382508277893,0.17729467153549194,0.42106372117996216,COMPLETE
44,0.08321429789066315,0.5702497235792338,0.005871250200581798,187,5,,99,45.0,61.0,32.0,94.0,False,False,False,0.27742505073547363,0.17823396623134613,0.42217767238616943,COMPLETE
45,0.28935012221336365,0.30545885584184335,0.002571372665841948,121,5,,122,62.0,74.0,27.0,32.0,False,True,False,0.6614747047424316,0.6184216141700745,0.7863978743553162,COMPLETE
46,0.10181212425231934,0.19126925819187612,0.0006271310477166602,252,4,,85,54.0,90.0,75.0,,False,False,False,0.3187263309955597,0.2207636684179306,0.4698549211025238,COMPLETE
47,0.09623713791370392,0.391990513417208,0.0014515780415618894,167,5,,71,39.0,41.0,46.0,62.0,False,False,False,0.31189149618148804,0.20569878816604614,0.45354026556015015,COMPLETE
48,0.49509063363075256,0.331161985919267,5.872431097810671e-06,41,2,,245,32.0,,,,False,False,False,0.8962351083755493,1.167797327041626,1.0806466341018677,COMPLETE
49,0.07296504825353622,0.5381466213352438,0.006609333891196925,224,5,,108,51.0,52.0,106.0,40.0,False,False,False,0.2549649775028229,0.15706002712249756,0.3963080048561096,COMPLETE
50,0.4400708079338074,0.4898710023167121,0.00018975109747068907,10,5,,159,68.0,51.0,135.0,25.0,False,True,False,0.846896231174469,0.9998579621315002,0.9999290704727173,COMPLETE
51,0.08032355457544327,0.5455778038680292,0.006116172832147801,298,5,,111,50.0,60.0,100.0,41.0,False,False,False,0.2762656807899475,0.17011819779872894,0.41245386004447937,COMPLETE
52,0.08204036206007004,0.5268188772023924,0.004736700424774625,225,5,,88,79.0,118.0,88.0,51.0,False,False,False,0.27694860100746155,0.17050878703594208,0.4129270911216736,COMPLETE
