trial_number,state,iterations,learning_rate,depth,l2_leaf_reg,mse,rmse,mae
0,COMPLETE,880,0.2695578595230868,10,1.5315604727301632e-05,0.1138500185788084,0.33741668390701784,0.21619944701922522
1,COMPLETE,271,0.010395309307271013,7,2.594825518070183e-06,0.23324936949869252,0.4829589728938603,0.36913772583726695
2,COMPLETE,547,0.050891199780757124,7,1.8210258268461918e-05,0.085835130522732,0.29297633099404463,0.19875799431439553
3,COMPLETE,773,0.1127881893372147,8,3.6020573476595826e-06,0.08695695740232447,0.2948846510117549,0.19047711721641644
4,COMPLETE,324,0.274474672650928,6,2.054974158348159e-07,0.09306299087363055,0.30506227376329337,0.20152733859802766
5,COMPLETE,112,0.2830212045131013,4,8.566131937721943e-07,0.10537236596053697,0.3246110995645974,0.23312286175357816
6,COMPLETE,117,0.021478920683921415,6,0.002381606622537915,0.2818329373672564,0.5308794000215646,0.41002201566259583
7,COMPLETE,378,0.2848356367312676,4,1.2885711914838619e-06,0.08906379463556177,0.29843557870261006,0.20240884534162995
8,COMPLETE,412,0.13451080507785784,10,8.282067749076539e-07,0.10209563987045374,0.3195240833966256,0.20916033777316503
9,COMPLETE,461,0.025063286395776506,9,6.7520062673491e-05,0.10264326941394243,0.32037988297323294,0.219951135828844
10,COMPLETE,636,0.05349655820706749,6,0.00040114409314464606,0.08483475492523128,0.29126406390976434,0.19809815854051427
11,COMPLETE,660,0.05483453659989827,6,0.0006338233402509427,0.08451832667772911,0.29072035820996284,0.19783364420016308
12,COMPLETE,642,0.04916835149193331,5,0.0009518175333206372,0.09154656130374521,0.30256662291757364,0.2099804337530583
13,COMPLETE,690,0.0837860872759113,6,0.00033292457559569194,0.08408152145153763,0.2899681386834382,0.19324593427672257
14,COMPLETE,938,0.09801406050916112,5,0.007909014878616265,0.08216433272758288,0.28664321503845663,0.18996041980321954
15,COMPLETE,967,0.10553117559410849,5,0.008449578572896129,0.08144703121052868,0.2853892626055309,0.1889176226299184
16,COMPLETE,931,0.15518342474594357,5,0.008593807584927093,0.08024548796050662,0.2832763455717872,0.1858562230114577
17,COMPLETE,1000,0.17478549924574005,5,1.139141409047658e-08,0.08228157040077763,0.2868476431849801,0.18698763272589225
18,COMPLETE,833,0.1662099086014235,4,0.007957919078105844,0.08502353614989279,0.2915879561125473,0.19519372874186286
19,COMPLETE,788,0.08506859860587725,7,9.090364834646084e-05,0.08197539548080503,0.2863134566883035,0.18625677827654893
20,COMPLETE,988,0.18086607418142797,5,0.002763243109834744,0.08032167088825704,0.2834107811785872,0.18483239865925086
21,COMPLETE,966,0.18349305419802228,5,0.002556040281327335,0.08173917890179985,0.2859006451580686,0.18489973563534864
22,COMPLETE,885,0.1432756041616167,5,0.009212505381855685,0.08128275147894809,0.2851013003810191,0.18853911087071207
23,COMPLETE,864,0.19602959071017037,4,0.0018841067598342996,0.08277288004749633,0.2877027633643729,0.1916418703580447
24,COMPLETE,737,0.0700755776426899,8,0.00014846994597008222,0.08505221879987372,0.2916371354952481,0.1890825148028639
25,COMPLETE,886,0.14203728610579935,5,0.0025982802042303407,0.08363062094424932,0.28918959342315437,0.1899392247761876
26,COMPLETE,919,0.22181257657849848,5,0.009306542922901595,0.08437000405302664,0.29046515118517513,0.18917487428043894
27,COMPLETE,568,0.13776757755261188,4,0.0012306618130601393,0.08637065270116938,0.2938888441250695,0.20159173259026922
28,COMPLETE,823,0.027986056439786883,7,0.00024066039993768607,0.0880312524010326,0.29670061071900844,0.20329971392135757
29,COMPLETE,896,0.2086534157728817,6,3.384702139775262e-05,0.08465234438144464,0.2909507593759546,0.18835508197398068
30,COMPLETE,746,0.03725982481497682,8,0.003834862067300894,0.08623744413307127,0.29366212580629336,0.19642015759561474
31,COMPLETE,997,0.11250253001501237,5,0.005021774540067216,0.07992534439505701,0.2827107079596686,0.1879566663937002
32,COMPLETE,996,0.13157093373287135,5,0.004175339502619043,0.07846179205731849,0.28011032122597423,0.18463456066162776
33,COMPLETE,987,0.07079644189216663,4,0.0008133385748471394,0.08673363582823382,0.29450574837893034,0.20223339163619145
34,COMPLETE,930,0.12306117133375716,6,0.00113233799161718,0.0799966055560552,0.2828367118251363,0.18658129591485959
35,COMPLETE,827,0.11015035952181465,6,9.503751556806928e-06,0.08211701904897628,0.28656067254418616,0.18743844763748083
36,COMPLETE,922,0.12010841300673036,6,0.004398352813231117,0.0810267891381323,0.28465204924281207,0.1846968012180027
37,COMPLETE,196,0.011534298935182829,7,0.0009564238383679199,0.27316726559930377,0.5226540592010205,0.40495714931521637
38,COMPLETE,936,0.08682662980494438,6,4.496819808270934e-08,0.08004727690902776,0.28292627468835013,0.18581864142634694
39,COMPLETE,795,0.07093684109471712,7,6.269234864083692e-08,0.08281032710924707,0.2877678354320494,0.18780006613475245
40,COMPLETE,850,0.09891814492168542,6,2.4721644872900615e-07,0.08298045190879076,0.2880632776123863,0.18914088447848726
41,COMPLETE,925,0.08149312069628122,6,2.3804322841508684e-08,0.08122051161721176,0.2849921255354466,0.18667079138669426
42,COMPLETE,934,0.2322159098918461,5,7.014225547362801e-06,0.08581951606656305,0.29294968179972997,0.19098264942322413
43,COMPLETE,959,0.1465508433671869,4,2.9203692465438494e-06,0.08379213799566793,0.2894687167824322,0.19355587670262242
44,COMPLETE,999,0.11541534235516503,6,2.5790720728734288e-05,0.07953559235696642,0.2820205530754211,0.18341349916123023
45,COMPLETE,999,0.1277351771843116,7,2.5085671645721425e-05,0.08379101636033347,0.28946677937257925,0.18573907889515834
46,COMPLETE,868,0.06112654010433753,6,3.5922368904470825e-07,0.08122188796416269,0.2849945402357082,0.19006154293650565
47,COMPLETE,225,0.09115331306983097,7,7.380238701329696e-05,0.09223599472124798,0.3037037943807222,0.21121732228533419
48,COMPLETE,68,0.11055284771070407,6,8.788025996125646e-08,0.14039406260725698,0.3746919569556531,0.27357764276637686
49,COMPLETE,716,0.11615919654843034,8,0.0005714176751545009,0.08589345286511511,0.2930758483142463,0.18957348316911496
50,COMPLETE,504,0.24969638742202346,6,1.3534565886805695e-06,0.08657771300463049,0.29424090980798456,0.19325769509275578
51,COMPLETE,958,0.15755997512096637,5,0.004127645657671711,0.08129704347574618,0.28512636404890057,0.18705869056946664
52,COMPLETE,907,0.12573792613170154,5,0.0014689861152237397,0.08165848094404111,0.2857594809346509,0.19144173389700095
53,COMPLETE,951,0.09469217229889704,6,0.0056520490126302034,0.08238739587338854,0.2870320467707196,0.18649004256123958
54,COMPLETE,999,0.07571429422688734,5,0.0002040666271054353,0.0823433164496356,0.28695525165021046,0.19207490691403123
55,COMPLETE,785,0.06178236181438947,5,0.0005282291972637335,0.0858592707876953,0.29301752641726964,0.19898280037337468
56,COMPLETE,362,0.16687805190991842,10,0.0014406242752445112,0.10507597099728391,0.32415423951767763,0.2116952884093744
57,COMPLETE,600,0.04726755271162766,4,0.005492799398320607,0.10225631565896068,0.3197754144066749,0.2274863488427505
58,COMPLETE,896,0.10358675564735113,5,0.002846740159544938,0.08017805988671022,0.28315730590382127,0.1891570141455203
59,COMPLETE,890,0.10426584253558371,9,0.0004036180343710702,0.0941246067455448,0.3067973382308667,0.19604725366952555
60,COMPLETE,851,0.08670560411807028,6,5.111851600934048e-06,0.08072349093389357,0.28411879722027117,0.18824027661270282
61,COMPLETE,958,0.12829149318362795,5,0.0023746093812485984,0.08109974424745277,0.2847801682832791,0.18784998452727827
62,COMPLETE,914,0.15215231686012426,5,0.0032974401992268577,0.07928129474325896,0.2815693426906753,0.18430823725316275
63,COMPLETE,812,0.18957140557900684,5,4.471842708294146e-05,0.08298153049120548,0.2880651497338848,0.18966059753549597
64,COMPLETE,974,0.09909204182281846,4,1.632558692754743e-06,0.0835605375371883,0.2890683959501424,0.1957978184463007
65,COMPLETE,895,0.15616346296812353,5,1.6374782554332386e-05,0.07980783496327208,0.28250280523080135,0.18618444712190804
66,COMPLETE,933,0.16640260879543642,6,1.376777582279293e-05,0.08441517242339173,0.290542892570773,0.18805587375474322
67,COMPLETE,868,0.1475882801476538,5,2.0718817297966376e-05,0.0799353163416708,0.2827283437182604,0.18537502457267158
68,COMPLETE,866,0.14893005733636117,4,0.00012306047255301902,0.0849163891235036,0.29140416799267577,0.19629591934490176
69,COMPLETE,758,0.2847056493361264,5,2.233416663979551e-05,0.08579765552429755,0.2929123683361588,0.19188050465204703
70,COMPLETE,976,0.20595477047791114,5,1.4024314679734966e-05,0.08141313517389273,0.2853298708055165,0.1845412897559277
71,COMPLETE,908,0.13631771518821467,5,4.49035228546229e-05,0.07856149257151497,0.2802882312397632,0.1846165115050203
72,COMPLETE,908,0.13540454471054428,5,4.8412321945924276e-05,0.07967982442585483,0.28227614923307787,0.18773068774567597
73,COMPLETE,842,0.13572639454632493,5,3.6487534805240795e-05,0.08020973709002414,0.28321323607844345,0.18928842652504668
74,COMPLETE,906,0.1800622049904723,4,5.3849420484928315e-05,0.08327765543270729,0.2885786815284651,0.1911667603705661
75,COMPLETE,876,0.24832516262060403,5,4.630884826449581e-06,0.08814240617539354,0.29688786801651823,0.19195191208302004
