trial_number,state,iterations,learning_rate,depth,l2_leaf_reg,mse,rmse,mae
0,COMPLETE,880,0.2695578595230868,10,1.5315604727301632e-05,0.053556253494173756,0.23142224070770243,0.13660577520494055
1,COMPLETE,271,0.010395309307271013,7,2.594825518070183e-06,0.09772086050805873,0.3126033597197233,0.2351791569196229
2,COMPLETE,547,0.050891199780757124,7,1.8210258268461918e-05,0.026001064488807395,0.1612484557718535,0.10171273906905888
3,COMPLETE,773,0.1127881893372147,8,3.6020573476595826e-06,0.028013157348044927,0.1673713157863226,0.09739342263759211
4,COMPLETE,324,0.274474672650928,6,2.054974158348159e-07,0.025861692024188605,0.1608157082631812,0.09729555569722488
5,COMPLETE,112,0.2830212045131013,4,8.566131937721943e-07,0.03511571126149775,0.1873918655158162,0.12842202827617563
6,COMPLETE,117,0.021478920683921415,6,0.002381606622537915,0.11561202445047179,0.3400176825555868,0.2565396991500133
7,COMPLETE,378,0.2848356367312676,4,1.2885711914838619e-06,0.026921678631663344,0.16407826983383067,0.10113698945208842
8,COMPLETE,412,0.13451080507785784,10,8.282067749076539e-07,0.04263721603753521,0.20648781086915327,0.11884759800851705
9,COMPLETE,461,0.025063286395776506,9,6.7520062673491e-05,0.03755586013249824,0.19379334388079028,0.12461866285166695
10,COMPLETE,620,0.10538634659590423,5,1.8190255062610996e-08,0.02247204920571699,0.14990680173266652,0.0976173537050326
11,COMPLETE,647,0.11738842714971853,5,1.0229835956029714e-08,0.022826396973228535,0.15108407253323738,0.09475202649218663
12,COMPLETE,676,0.09858322433902342,5,1.0747510534578496e-08,0.023185756611257775,0.15226869872451718,0.09477111990184942
13,COMPLETE,638,0.06680818982054695,5,1.3037558565957583e-08,0.024377540438926978,0.15613308566388798,0.10229627160650528
14,COMPLETE,938,0.16103915834564386,5,1.294729636534481e-07,0.024676157554048037,0.15708646521596964,0.0922259178093835
15,COMPLETE,739,0.05427261182181233,6,4.867165589410123e-08,0.024285858819333594,0.15583920822223654,0.09771115658399047
16,COMPLETE,571,0.03525484818624885,4,0.0007274071157031801,0.03680368244609144,0.1918428587310235,0.1410573170243624
