trial_number,state,iterations,learning_rate,depth,l2_leaf_reg,mse,rmse,mae
40,COMPLETE,825,0.07172140953614771,5,1.6270315785644392e-07,0.09402337366600247,0.3066323102120885,0.1748761417028502
41,COMPLETE,740,0.06008128887599983,4,9.320036000721346e-07,0.10362403827058367,0.3219068782592004,0.178008725992047
42,COMPLETE,678,0.12267058612637545,4,1.3809936030785193e-07,0.07252561175502721,0.26930579599226456,0.1590565068948305
43,COMPLETE,672,0.12154173471385107,4,1.2001262886471071e-07,0.08089694263223521,0.28442387844946354,0.16279493938828124
44,COMPLETE,546,0.19095134400522634,4,6.247794658701077e-08,0.10409286111239748,0.3226342528504955,0.18113617232334825
45,COMPLETE,668,0.11191041365937772,4,1.7477648072897154e-08,0.08476883700936845,0.2911508835799205,0.17183414578441042
46,COMPLETE,643,0.11890788437706824,4,1.2023445885532576e-08,0.08190002193381608,0.28618179874655914,0.16848568315748336
47,COMPLETE,647,0.1226045666879907,5,1.171839309637587e-08,0.09490286936619036,0.3080630931581879,0.16712122755619765
48,COMPLETE,408,0.08890639525495175,6,2.3280766595920034e-08,0.09540288911940878,0.3088735811289285,0.1777321384912387
49,COMPLETE,595,0.11470653732291546,9,2.4515161774279305e-08,0.10866697704384387,0.3296467458414293,0.20104952824633024
50,COMPLETE,664,0.17421647726268952,4,1.0869633739627322e-07,0.09237904667587005,0.3039392154294507,0.1759418386682211
51,COMPLETE,698,0.09944311256677235,4,2.2405161303327008e-08,0.08364622464873527,0.2892165704947337,0.16819027283019986
52,COMPLETE,552,0.10117202834679098,4,2.2099296066758018e-08,0.08486123417102055,0.2913095161010374,0.17130341443072616
53,COMPLETE,534,0.12616231984297638,4,2.0418585020175672e-08,0.08935088373377703,0.29891618178642826,0.1734434906699009
54,COMPLETE,487,0.2285089656719816,4,4.7200025564509055e-08,0.12376327292073891,0.3518000467889948,0.18508316213656376
55,COMPLETE,568,0.16100460064862632,5,1.5848352470214115e-08,0.10031926631262378,0.3167321681052049,0.17878279988367024
56,COMPLETE,691,0.09636021390393171,4,3.3095892972463326e-08,0.09482956702378273,0.3079440972380908,0.17732681285292687
57,COMPLETE,632,0.10113581637362044,4,1.0584916751879335e-08,0.08013192966463241,0.28307583730271363,0.16900399391052448
58,COMPLETE,627,0.12729895809777744,5,9.170795461517431e-08,0.09421543907855678,0.30694533565206167,0.17393992197445932
59,COMPLETE,705,0.08213181426158009,4,1.06792013987274e-08,0.08831197295783252,0.2971733045847701,0.17193130025704526
60,COMPLETE,580,0.011729172586104852,5,3.603912180629295e-08,0.11956237873576697,0.3457779326905738,0.22795108721051988
61,COMPLETE,629,0.10116627305202977,4,1.606552209795048e-08,0.08262730505174311,0.2874496565517919,0.1742916293892473
62,COMPLETE,665,0.10512813944250511,4,1.4202882365110674e-07,0.09568901377914601,0.30933640875129137,0.17494986782991845
63,COMPLETE,625,0.09216609401704344,4,5.3283804046601125e-08,0.08542116362280958,0.29226899189412753,0.16676740365597156
64,COMPLETE,768,0.1622524195810088,4,1.502147695423501e-08,0.08364340686733043,0.28921169904990085,0.16920847433767988
65,COMPLETE,755,0.15775548423235616,5,3.0900802818010035e-08,0.11514833638553834,0.33933513874271604,0.1877186818545272
66,COMPLETE,714,0.20649828865921838,4,1.4182217990047367e-08,0.08666904179756171,0.29439606280920555,0.16930632570721416
67,COMPLETE,597,0.18323244693101473,5,1.0103209691276165e-08,0.08100893162594948,0.2846206802499591,0.16842093780416292
68,COMPLETE,514,0.23794625951274156,5,1.0410371573325223e-08,0.10743955231776213,0.3277797314016871,0.18681757406664315
69,COMPLETE,601,0.17904798555544055,6,1.9343269941341857e-07,0.11449097887690163,0.33836515612116685,0.18780450234631846
70,COMPLETE,442,0.28467672509751624,5,6.712477316599798e-08,0.09302177243582045,0.3049947088652858,0.18216331789442483
71,COMPLETE,773,0.1351653930676888,4,4.2241404523986463e-08,0.0804509677597625,0.28363879805090575,0.1669629449148151
72,COMPLETE,638,0.13572725828106033,4,4.238962274001868e-08,0.09069945389797578,0.30116350027514255,0.1665706873398516
73,COMPLETE,764,0.15528470658015758,4,9.825229609930179e-08,0.10406805345650584,0.32259580508200325,0.17293076252158993
74,COMPLETE,59,0.1958024451448009,4,1.5325325860798805e-08,0.1456474028707811,0.38163779015026944,0.23197294647908545
75,COMPLETE,777,0.015920169084773738,4,3.063117387288106e-08,0.10689207405780757,0.3269435334393503,0.1992853749050498
76,COMPLETE,582,0.1413687448631038,5,1.4844436818397771e-08,0.10350867409605954,0.32172763962093703,0.1754169791804869
77,COMPLETE,722,0.12251529843265702,4,4.595537245509211e-08,0.08359291805434317,0.2891243989260387,0.17153270440951052
78,COMPLETE,618,0.11658321739687548,4,4.95274704278127e-08,0.0802728261526755,0.28332459503663904,0.1661198395870896
79,COMPLETE,621,0.0664658314900671,4,2.590168840770421e-07,0.07822446036576573,0.27968636070742836,0.17620286136360425
80,COMPLETE,557,0.0792378036116899,5,3.640095463948384e-07,0.09733556778353826,0.3119864865399434,0.17473347172959644
