trial_number,CR,F,G,size,best_positions,best_total_power,state
0,0.968540662820932,0.8860864625126346,113,191,"[0.99663057 1.         1.         1.         0.77052516 1.
 0.30185264 0.52764308 1.         0.98434117 1.         0.90007419
 0.83725388 1.         1.         0.85404892 1.         0.65191864
 1.         1.         0.79758977 0.81176052 1.         0.28863065
 0.81667582 1.         0.87618678 0.39222397 1.         0.87717575
 1.         1.         0.84962358 0.21370422 0.06466127 1.
 0.09081333 1.         0.30033086 0.68686657 0.91405744 0.97657689
 0.98823781 0.64808752 0.87516684 0.00367995 1.         1.
 1.         0.21909742 1.         1.         0.19811836 0.85376703
 0.25693083 1.         0.67521599 0.39842165 0.05453439 0.65115343
 0.91719697 0.89277512 0.40838504 1.         1.         0.32353879
 0.05832674 0.95232107 0.93726027 0.31202955 0.09264387 0.19228543
 0.90631559 0.43699131 0.30531285 0.52126002 0.32229456 0.46618055
 0.04303683 0.16540496 1.         1.         0.98704784 0.16889396
 0.22903815 0.69091109 0.92603389 1.         1.         0.01195134
 0.27092154 1.         0.08388994 0.0773475  0.13475493 1.
 1.         0.11492851 0.74951047 1.         0.3026005  1.
 0.74958191 0.60936646 1.         1.         1.         0.42158807
 1.         0.91433797 0.3475435  1.         1.         0.34062352
 1.         0.66151567 0.82900482 1.         0.8502377  0.2212075
 0.91365755 1.         0.96205767 1.         0.2168065  1.
 1.         1.         0.51265537 1.         1.         0.6742432
 0.05344735 1.         1.         0.06280172 1.         0.15342693
 0.44477512 0.81026956 0.25514085 1.         0.16014197 0.87288948
 1.         1.         0.39616859 0.05832545 0.45064014 0.652995
 0.72874586 0.37712691 0.97958137 0.45846128 0.25893463 1.
 0.22529908 1.         0.0197483  0.1580834  1.         0.17772194
 0.31418537 1.         0.61971851 0.86138974 0.25559716 0.63194359
 0.09878161 1.         0.24192186 1.         0.73244731 0.55480017
 0.33211709 0.9557709  0.09186981 1.         0.09657752 0.11643331
 0.19787002 1.         0.26702793 1.         1.         0.54387759
 1.         1.         1.         1.         0.28742543 0.77887614
 1.         0.00629571 1.         0.94284537 1.         0.53713889
 0.6061024  0.94199339]",-7.719824713908096,COMPLETE
1,0.011398804277429897,0.3094554951795616,62,42,"[0.10047679 0.50020083 0.98865491 0.50887397 0.3745274  0.75604464
 0.25583454 0.72003293 0.44494528 0.15840769 0.82784573 0.66661313
 0.31668674 0.29727408 0.78726542 1.         1.         0.59205119
 1.         0.49282435 0.40940681 0.69310806 0.78590434 0.93841279
 0.20077126 0.12816345 0.77900074 0.1257636  0.87805486 0.84061954
 0.49350457 0.57035413 0.86806683 0.45080677 0.97371175 0.07713669
 0.26645304 0.29857067 0.23984788 0.2852017  0.87072256 0.93875731
 0.66175553 0.46285811 0.09419503 0.12167472 0.84860418 0.2247633
 0.36902095 0.83202418 0.74745105 0.02079418 0.29612974 0.00169865
 0.76980243 0.79863723 1.         0.79379495 0.64620061 0.98590721
 0.74625858 1.         0.49225691 0.96518917 0.68162889 0.63574638
 0.1834131  0.73902481 0.36533702 0.05153379 0.99649109 0.67896871
 0.95053628 0.57058484 0.13272132 0.36605406 0.08532201 0.29433258
 0.04857336 0.46478202 0.36338329 0.18007952 0.74011026 0.52203833
 0.39232742 0.87794447 0.77706679 0.98878772 0.59278989 0.95258505
 0.2334063  0.03378073 0.53509328 0.45313558 0.6383395  0.30030914
 0.73600836 0.11824839 0.20424897 0.18620029 0.5660109  0.56611029
 0.0269767  0.89418225 0.31162901 0.36149532 0.02764879 0.28480482
 0.92328821 0.2410355  0.52620476 0.97321543 0.73280919 0.2835023
 0.08102617 0.86972191 0.79714858 0.14826702 0.67865677 0.90642814
 0.38894839 0.9324227  0.32293677 0.98403165 0.00809196 0.73172641
 0.60982723 0.39609596 0.94687841 0.50679165 0.9435931  0.15981666
 1.         0.9495861  0.10342899 0.28404881 0.26071745 0.22420332
 0.38561229 0.34577267 0.97774506 0.71017892 0.4633835  0.85636318
 0.30268419 0.80374191 0.2603467  0.38527126 0.93386852 0.85296038
 0.81002499 0.29965879 0.78501448 0.24107503 0.11305621 0.5780476
 0.92681785 0.8762907  0.52495155 0.27939617 0.91833556 0.32332902
 0.32511123 1.         0.12072175 1.         0.014273   0.67144688
 0.71826698 0.98040706 0.93575237 0.19082944 0.21228998 0.149327
 0.56611678 0.89343283 0.3775855  0.40909673 0.34641652 0.19177941
 0.02975232 0.98036136 0.64341269 0.38820166 0.60447768 0.14427001
 0.77131729 0.24162395 0.97860679 0.17901701 0.47327704 0.35354343
 0.97478006 0.57407605 0.76544877 0.96334161 0.70846546 0.88870217
 0.29012275 0.70475235]",-2.7574687403332163,COMPLETE
2,0.47839179580240243,0.5704072042173127,119,65,"[0.34680525 0.98204506 0.40143498 0.3856956  0.93045741 0.02856596
 0.6129575  1.         1.         0.98614318 0.26889407 0.85001848
 0.54332963 0.20202982 0.45386078 0.98207223 0.85885801 0.97218051
 0.57804909 0.56093445 0.97620553 0.86705543 0.71428463 0.52574952
 1.         0.92135716 0.91046939 0.19556604 1.         0.64030794
 1.         0.37488606 0.03845185 0.11613116 0.94167369 1.
 0.0815818  0.46870099 0.61851929 0.71289866 0.59240135 0.97017687
 0.98809316 0.07953341 1.         0.20924382 0.24527426 0.08256453
 0.97390436 0.98329034 0.89395966 0.43403066 0.30675786 0.72211757
 0.39005089 0.74864269 0.34605231 0.37562173 0.19466607 0.99232934
 0.661938   0.78103348 0.55162898 1.         0.49707998 0.21808398
 0.26399433 0.05841714 0.04406272 0.67952084 0.24377995 0.22150577
 0.65301252 0.97048695 0.87193735 0.89636398 0.83838397 0.0928634
 0.46178427 1.         0.49190341 0.23331901 0.88630987 0.13015712
 0.98698869 0.01581765 0.67026998 1.         0.86541517 0.09981858
 0.36148671 1.         0.93564008 0.07286762 0.06480801 0.9422146
 0.17513399 0.90885635 0.76924727 0.93280475 1.         0.4123627
 0.1449832  0.86115325 0.88933713 0.33896284 0.31711485 0.22204259
 0.05544252 0.31342682 0.73097505 0.99484112 0.96862547 0.60652918
 0.01528954 0.99850551 0.54587891 0.92454611 0.35694081 0.43730268
 0.9770529  0.20602171 1.         0.58449656 0.01223829 0.4897017
 0.11245477 0.00222405 0.75726367 0.86146448 0.86785595 0.69286087
 0.16519307 0.34562849 0.34276802 0.97183678 1.         0.6152091
 0.86161258 0.1316793  1.         0.69478028 0.55197909 0.49897225
 0.71177893 0.03730008 0.36415954 1.         0.13402653 0.41199771
 0.16092801 0.5149261  0.4885847  0.37824883 0.15978635 0.80680287
 0.2299052  0.96836164 0.41534995 0.8659172  0.97888899 0.43128143
 0.61346008 0.01300838 0.97318368 0.63982526 0.19414276 0.98436953
 0.00430286 0.31038638 0.21262707 1.         0.25782709 0.29405243
 0.06007723 0.72761934 0.96994228 0.54544031 0.22943478 0.77436547
 0.63318733 1.         0.17719257 0.92509066 0.15114825 0.58535706
 0.99566323 0.25455352 0.71915787 0.2764255  0.72927326 0.13341644
 0.77302592 0.20538221 0.10047288 0.1003752  0.58199438 0.12381371
 0.49156833 0.95761107]",-4.942568315833455,COMPLETE
3,0.7123745740820913,0.784806018042636,69,81,"[1.         1.         0.74913938 0.91041673 0.56630301 0.84478465
 1.         0.7464349  1.         0.64778026 1.         0.42738079
 0.58889644 0.87504873 1.         0.84245219 1.         1.
 0.09468927 1.         0.83446052 0.62591953 1.         0.89186322
 0.51259223 0.45376908 1.         0.44131314 1.         0.40713179
 0.9033695  0.32418225 1.         0.441796   0.4470379  0.67047776
 0.48716878 0.69981526 0.98497719 0.89600472 0.72577331 0.57341246
 0.97085654 0.17148417 0.22300696 0.22315147 0.86388146 1.
 0.18968767 0.65278708 0.53014322 0.3086404  1.         0.711592
 0.55117126 0.82820782 0.0440188  0.4849876  0.91499091 0.37021982
 1.         0.83051872 0.89102748 0.0612202  1.         0.65745463
 0.09339293 0.07383235 0.71881202 0.96542854 0.45742553 0.14870294
 1.         0.36353809 0.47628948 0.15839638 0.18589588 0.73332434
 0.13593947 0.27682867 0.00286585 0.67366598 0.70323083 0.95241453
 0.65743413 0.71840657 0.36044623 0.90137857 0.0520863  0.40697132
 0.69265744 0.91446626 0.24212882 0.31548388 0.67174678 0.64137668
 0.73999659 0.36953383 0.86321273 0.85721148 0.4378433  0.22955513
 0.36623624 0.04493717 0.57896329 0.66124866 0.15946581 0.61780073
 0.60699285 0.97543356 0.33548271 0.06475123 0.98253213 0.16179868
 0.06254075 0.61096709 0.02753572 0.94761325 0.00583271 0.7707079
 0.50548678 0.53833908 0.6154744  0.4222734  1.         0.77555151
 0.67301681 0.32310215 0.38333823 0.79638345 0.05434438 0.59788808
 0.0166773  0.55232623 0.9791538  1.         0.96537329 0.89274581
 0.38009205 0.17665316 1.         0.64797345 0.46867991 0.12299235
 0.76015856 0.64308429 0.66458021 0.1320284  0.27120234 0.09781563
 0.39445307 0.34464875 0.8240179  1.         0.87903826 0.68447205
 0.30183748 0.99447454 0.34152271 0.68672312 0.22715685 0.39718242
 0.11798066 0.2985828  0.20675089 0.65095418 0.39955619 0.09671561
 0.80321803 1.         0.13298501 1.         0.18039068 0.04775022
 0.26340189 0.1566899  0.11555185 0.85246188 0.4131083  0.02415002
 0.14151387 0.96515451 0.0329759  0.92214922 0.1054581  0.12268493
 0.28708602 0.92010062 0.24124863 0.09354051 0.42114428 0.77143779
 0.86845859 0.10130115 0.87802236 0.96433832 0.06702463 0.96195694
 0.08233362 0.10763929]",-4.444745473940934,COMPLETE
4,0.9738552412004462,0.3601675252162789,26,30,"[0.9123541  0.89040853 0.73963063 0.83485152 0.77630147 0.54802552
 0.19136035 0.6487321  0.24656843 0.5627924  0.82484996 0.88104357
 0.37171608 0.27199299 0.47952492 0.58833287 0.96749622 0.44951098
 0.51939625 0.39980286 0.50211746 0.90029214 0.43286011 0.02381251
 0.74974446 0.65214562 0.16425891 0.97763629 1.         0.35037575
 0.59188331 0.61632432 0.65067204 0.59022363 1.         0.15693249
 0.0317239  0.16773279 0.96124784 0.21954902 1.         0.57613344
 0.86973183 0.04005148 0.031843   0.74332248 0.38945187 0.93716074
 0.96097993 0.33935906 0.86634673 0.36306814 0.49758671 0.20364835
 0.53813645 0.16373229 0.95617352 0.72553127 0.99031498 0.69655399
 0.40454622 0.68310744 1.         0.77278889 1.         0.3257863
 0.99367706 0.81591094 0.52566652 0.27773238 0.50439451 0.55348434
 1.         0.64487072 0.23367024 0.07733653 1.         0.49806231
 0.80378655 1.         0.64643902 0.87376078 0.85702785 0.53306868
 0.43785901 0.45773523 1.         0.85050183 0.30933246 0.90905494
 0.25964175 0.47909932 0.1787824  0.07068413 0.50204453 0.95145592
 0.44366256 0.02593497 0.17909152 0.228027   0.70189619 0.8618047
 0.11697653 0.8663659  0.5111423  0.53241709 0.05556143 0.26723976
 0.19738292 0.06162052 1.         0.51333948 0.38339273 0.92309475
 0.40797582 0.75754288 0.09556898 0.80663456 0.8641723  0.78248848
 0.51269274 0.26247799 0.14790533 0.46382063 0.09095054 0.05716211
 0.09846454 0.05025305 0.39622947 0.27877723 0.4905432  0.08440156
 0.20933715 0.53368056 0.47318929 0.71111459 0.85021791 0.04486301
 0.76444713 0.32682344 0.25658551 0.88234314 1.         0.94263354
 0.75884178 0.53399221 1.         0.73327571 0.42820735 0.20047726
 0.7116998  0.05956667 0.44000014 0.17415679 0.11299359 0.21522516
 0.65041966 0.8485756  0.21170866 0.33137122 1.         1.
 0.01721795 0.65700036 0.29480222 0.14834822 0.23457602 0.96269915
 0.53620954 0.68535676 0.08797887 0.95855902 1.         0.72049236
 0.19498354 1.         0.07441867 0.30372172 0.13225921 0.63119557
 0.40131527 0.95709216 0.11855511 0.89849603 0.52311855 0.86255087
 0.34809261 0.3207406  0.78557039 0.77411444 0.43032632 0.0720496
 0.66753327 0.58478259 0.47147082 0.88289363 0.75266349 0.43311786
 0.32075573 0.95471411]",-4.045040273520655,COMPLETE
5,0.9828705465534338,0.1592275490084903,43,15,"[0.70409088 0.5208815  1.         0.47186122 0.7080234  0.85194346
 0.05972283 0.20851914 0.94556525 0.07037883 0.61514221 0.51022239
 0.70272331 0.77080807 0.15532542 0.45465168 0.83430294 0.03456038
 0.55333763 0.84268266 0.92495637 0.73337478 0.93603961 0.11621427
 0.95606462 0.67605901 0.87700849 0.4922176  0.9492521  0.36152913
 0.24978821 0.10082711 0.71029714 0.09531521 0.58806427 0.15139802
 0.64967243 0.57989186 0.89767567 0.76530092 0.9580688  0.94483823
 0.89422637 0.69285499 0.95927739 0.66540636 1.         0.8345947
 1.         0.34718926 0.09167046 0.50102518 0.53247973 0.82903341
 0.06601711 0.47238667 0.4648344  0.41722712 0.09363167 0.97695735
 0.66314627 0.97128272 0.31386266 0.99025091 0.6855015  0.14307384
 0.86275021 0.94175836 0.03128304 0.29789108 0.01463332 0.73656549
 0.86623961 0.03524681 0.61224151 0.48500418 0.96404549 0.27994533
 0.38560615 1.         0.77341227 0.9948662  0.80017705 0.68782793
 0.02999835 0.95128414 0.59984184 0.67046636 0.52134222 0.53272512
 0.78830693 0.03258631 0.7980495  0.94133305 0.52187709 0.31927019
 0.7009102  0.20668453 0.3352163  0.15690766 0.70271826 0.97188616
 0.11216561 0.51905542 0.3454668  0.03719119 0.02625684 0.88278014
 0.77268933 0.95881862 0.14519477 0.58730672 0.60820274 1.
 0.28045967 0.69393662 0.86811166 0.63678282 0.97387002 0.0012352
 0.37586751 0.15258565 0.14100488 0.42604563 0.48604666 0.85904576
 1.         1.         1.         0.06603379 0.64125219 0.74517675
 1.         0.58142593 0.97280514 0.64087999 0.88012787 0.09635086
 0.86676137 0.63048326 1.         0.60646337 0.67067965 0.43759174
 0.56816234 0.03478485 0.30769129 0.94206941 0.0735069  0.8709411
 0.09303298 0.72523307 0.43417275 0.94293912 0.0504891  0.69257512
 0.93779154 1.         0.05228256 0.58982548 0.14500365 0.00440702
 0.46166039 0.83445708 0.41063511 0.68882119 0.41382933 0.32627158
 0.05033184 0.02029679 0.3806006  1.         1.         0.52784258
 0.60284114 0.99728338 0.39537548 0.717205   0.15150744 0.81806231
 0.50502532 0.93767452 0.99764435 0.31019967 0.57419632 0.11364433
 0.2824014  0.77137393 0.00429496 0.12176198 1.         0.04784482
 0.2681899  0.24131546 0.13937493 0.16292106 0.9264372  0.95121039
 0.14406104 0.1717175 ]",-4.672291260812251,COMPLETE
6,0.22476993896804542,0.16384856027517886,617,37,"[1.00000000e+00 9.98897095e-01 1.00000000e+00 1.45039557e-02
 2.92941947e-03 9.50751153e-01 1.02004951e-01 9.51719056e-01
 9.54263794e-01 1.00000000e+00 9.75636482e-01 9.06638422e-01
 9.80357164e-01 8.36622442e-02 4.66206687e-01 1.00000000e+00
 1.00000000e+00 1.21927703e-01 8.90133162e-01 1.82611121e-02
 1.00000000e+00 9.85100765e-01 9.99514470e-01 4.77851808e-02
 9.92989767e-01 3.54002116e-01 1.00000000e+00 6.35436498e-02
 9.70647080e-01 1.62552492e-01 1.00000000e+00 1.93553668e-02
 9.41981376e-01 6.13763876e-02 9.40322681e-01 3.05888898e-03
 1.53215959e-01 8.70495289e-01 1.00000000e+00 1.00000000e+00
 9.82776985e-01 1.00000000e+00 8.43745869e-01 3.70847518e-02
 1.03912312e-01 1.65662818e-01 3.69292422e-01 4.55690873e-01
 9.94690034e-01 9.56913016e-01 9.92913792e-01 7.59475468e-02
 9.34915556e-02 1.00000000e+00 2.49183788e-01 1.00000000e+00
 3.86487107e-02 8.61360457e-01 3.67486610e-02 1.00000000e+00
 8.25836512e-01 9.67050543e-01 9.94359023e-01 1.00000000e+00
 9.04900621e-01 5.55800328e-02 1.11358408e-01 1.20424944e-02
 1.00000000e+00 2.02619104e-01 2.48390476e-01 7.57195390e-01
 1.00000000e+00 8.78687863e-03 8.46433091e-02 1.66571167e-02
 1.34364669e-01 1.56545133e-01 3.73357832e-02 8.06077405e-01
 9.85788863e-01 4.02219910e-02 9.17675760e-01 1.00000000e+00
 3.40087520e-01 2.80519842e-02 9.15147262e-01 8.35531068e-01
 1.00000000e+00 1.41199311e-01 2.40349345e-01 2.81959322e-02
 1.18344557e-01 8.03438286e-04 3.93214587e-02 9.18502647e-01
 1.00000000e+00 2.65713117e-02 1.77221807e-02 5.69342010e-01
 9.72425448e-01 9.76340344e-01 9.01169670e-01 9.53285269e-01
 9.04087250e-01 1.00000000e+00 1.96838893e-01 9.94762480e-01
 1.00000000e+00 9.41307292e-01 1.00000000e+00 1.00000000e+00
 1.00000000e+00 1.00000000e+00 2.96740262e-02 4.02237111e-01
 1.00000000e+00 1.00000000e+00 2.83266010e-02 1.02428838e-01
 1.00000000e+00 9.36732082e-01 1.00000000e+00 1.08574806e-01
 9.04477562e-01 1.00000000e+00 1.00000000e+00 1.77881789e-01
 8.61418421e-01 8.66650679e-02 6.30360456e-02 7.23196813e-01
 1.71016263e-01 1.00000000e+00 8.01545026e-02 1.00000000e+00
 8.95348378e-01 7.60470125e-02 1.00000000e+00 4.29549753e-02
 9.50042707e-01 6.19685769e-01 8.88779403e-01 1.00000000e+00
 9.97933015e-01 2.80685424e-02 8.27909760e-01 7.83049215e-02
 9.69651700e-02 3.59449322e-01 2.09141490e-02 1.72785221e-01
 9.44483071e-01 1.00000000e+00 3.66062307e-03 9.05402479e-01
 1.02907394e-01 9.47480449e-01 1.27524608e-02 2.36792983e-01
 1.20261111e-01 1.06434191e-01 7.47503257e-03 1.00000000e+00
 1.03972342e-01 9.64531293e-01 2.99341755e-01 9.87567132e-01
 3.09869005e-01 9.88542206e-01 5.41087264e-02 1.00000000e+00
 7.51289266e-02 1.00000000e+00 3.35132607e-03 9.74802999e-01
 1.46572628e-02 6.37335935e-01 1.73219724e-01 1.04767710e-01
 7.96652302e-01 9.34903889e-01 1.80534282e-02 8.90727179e-01
 3.08512191e-01 3.20319485e-01 1.00000000e+00 1.00000000e+00
 3.05659805e-02 2.16963367e-02 6.62475513e-02 8.48574857e-02
 1.00000000e+00 4.85461736e-02 8.86757004e-01 7.19154677e-01
 5.45049156e-03 2.60506054e-01 1.04770692e-01 3.57224019e-04]",-12.467265902748444,COMPLETE
7,0.9847494372852713,0.41091545079808034,49,10,"[0.92380179 0.99575684 0.79299478 0.00607214 0.04207008 0.06313164
 1.         0.44671717 0.15333402 0.92830856 0.21342698 1.
 0.11152132 0.02770461 0.77747725 0.86558676 0.41302983 0.99217775
 0.97714468 0.24079291 0.98559138 0.53252562 0.73381901 0.85051444
 0.26997355 0.49248242 0.43215667 0.24048441 0.53915721 0.71151805
 0.92515932 0.62544013 0.95353663 0.49353846 0.85660131 0.90616364
 0.77618852 0.86763928 0.69286075 0.44570966 0.90199369 0.26721705
 1.         0.20988673 1.         1.         0.88153329 1.
 1.         0.52480965 0.81597726 0.15156765 0.7978894  1.
 1.         0.12852932 0.93934402 0.76330729 0.5856711  0.55706034
 0.36641371 1.         1.         0.61605183 1.         0.40916909
 1.         0.12101617 0.07130238 1.         1.         0.33167001
 0.27343611 0.25517374 0.75240416 0.25292346 0.3921763  0.02990568
 0.47976432 0.04829108 0.83300393 0.21924464 0.06707937 0.04248848
 0.2173449  0.01613868 0.50049045 0.57724416 0.31155633 0.00413192
 0.41298164 0.33515604 0.44112992 0.95589929 0.81598953 0.7252449
 0.83235326 1.         1.         0.09772933 0.37100192 1.
 0.29688313 1.         1.         1.         0.45060911 1.
 0.11314447 0.85868694 0.60197765 0.82039417 0.54743327 0.00400001
 0.23932723 0.59501487 0.82272263 1.         1.         0.36226256
 1.         1.         1.         0.97410989 0.33493631 0.97725978
 1.         0.27657945 0.97275685 0.47321529 0.27247586 0.36860612
 0.43236504 1.         0.67230805 0.77324791 0.65049811 0.12856373
 0.18891723 0.66882713 0.93702358 0.40036651 0.75729778 1.
 0.15572189 0.00992474 0.24547225 0.88123533 0.89032202 1.
 0.21632698 0.98908248 0.02381584 1.         1.         1.
 0.06859274 1.         0.09265072 0.05489857 1.         0.03263481
 0.11911256 0.92335968 1.         0.71628352 0.99366648 0.10951228
 0.03220292 0.2744589  0.12839431 0.23640197 1.         1.
 0.08455127 1.         1.         0.34345507 0.05957623 0.39480037
 0.21656731 0.99980188 0.22247732 0.23118199 0.12678302 0.14392114
 1.         0.63610003 1.         0.04537214 1.         0.3357249
 1.         1.         0.25868142 0.58428668 0.71113038 0.37243254
 0.71857434 0.64506576]",-4.637521119036627,COMPLETE
8,0.7641601313659601,0.4428630002834677,42,243,"[8.16983872e-01 1.71862531e-01 3.20753816e-01 1.58384700e-02
 8.35629484e-01 4.29933833e-01 5.64286095e-01 8.89397243e-01
 9.67527080e-01 9.31922393e-01 4.97491848e-01 2.42168471e-01
 4.71628124e-01 2.95167067e-02 6.57838043e-01 6.39101057e-01
 6.60428401e-01 5.70908342e-01 8.94583372e-01 7.59864932e-01
 9.23791459e-01 9.65171813e-01 8.89462664e-01 2.37115837e-01
 7.54713524e-01 8.35791176e-01 9.08693384e-01 1.22291520e-01
 3.19624056e-01 1.82045840e-01 6.47504231e-02 1.67713363e-01
 1.00000000e+00 2.19014343e-01 7.89873635e-01 2.13126859e-01
 1.17490114e-01 1.05928950e-01 1.43935800e-01 8.04773169e-01
 8.38693536e-01 1.14994433e-01 1.61043446e-01 8.87694832e-01
 7.76659090e-01 6.35952502e-01 6.48295571e-01 8.72071886e-01
 4.64635709e-02 1.43655972e-02 9.44918138e-01 8.95573888e-01
 7.77135205e-01 3.29213050e-01 3.19141015e-01 1.81838214e-01
 7.84617017e-01 5.86368168e-01 2.32218160e-01 3.68171235e-01
 1.01865579e-01 5.24619473e-01 3.95601107e-01 9.16686445e-01
 8.69262677e-01 9.29887884e-01 3.35458965e-01 5.62351287e-01
 8.79908583e-01 8.74053875e-02 5.77652056e-01 4.89711677e-01
 9.65580868e-01 3.38962603e-01 9.04118851e-01 4.18362236e-02
 2.70445556e-01 5.49112834e-01 1.55832025e-01 3.30603209e-02
 8.74163475e-01 1.81574732e-01 9.31475184e-01 5.38776205e-01
 5.96391026e-01 9.13776628e-01 3.77772519e-01 4.84949891e-01
 9.16934386e-01 4.63592235e-01 4.62821877e-01 9.93896621e-01
 5.21636376e-01 2.27775212e-01 4.20865084e-01 2.50357202e-01
 1.06682939e-01 7.56734574e-01 9.60937003e-01 8.90919934e-01
 7.47832926e-01 3.79080699e-01 1.73890888e-01 8.49545524e-01
 9.72492289e-01 6.25964686e-01 8.35446313e-01 7.39128147e-01
 5.66570279e-01 9.94371845e-01 3.81813303e-01 8.02210420e-01
 9.34334998e-01 3.08793530e-01 7.77572754e-02 9.80249876e-01
 3.66730538e-04 5.29413844e-01 8.59643086e-01 9.72152782e-01
 3.14000152e-01 8.33196356e-01 3.05153366e-01 2.66315665e-01
 2.12093915e-01 8.88653321e-01 1.21998826e-01 7.17077556e-01
 4.14108876e-02 9.86646667e-01 1.27090355e-01 7.83916610e-01
 8.68162845e-01 8.37265238e-01 4.64595402e-01 6.50323987e-01
 3.88393955e-01 3.10311489e-01 6.44585527e-01 6.33402595e-01
 2.42089489e-01 1.90158419e-01 8.84254410e-01 7.32912871e-01
 8.09135266e-01 9.09674175e-01 7.86843045e-01 5.21215881e-01
 2.05525475e-01 1.00000000e+00 2.25468746e-01 6.83187203e-01
 6.20758076e-01 8.64061124e-01 9.72483742e-01 7.38932718e-01
 9.23996577e-03 7.98791198e-01 6.89757504e-01 7.80033759e-01
 3.46918056e-01 8.56386605e-01 1.10728554e-01 3.44623178e-02
 4.17198238e-01 4.53390955e-01 3.93601348e-01 5.41053564e-01
 6.74303849e-02 9.99461076e-01 3.42017269e-01 2.39600792e-01
 1.19076892e-01 1.95902035e-01 9.13788937e-03 5.45540027e-01
 3.53463972e-01 6.25538303e-01 1.95103084e-01 9.56759312e-01
 4.17817128e-01 9.71484156e-01 2.79802355e-01 6.19974596e-01
 2.80885158e-01 3.22642789e-01 4.18437897e-01 8.35006309e-01
 3.21214630e-01 7.91484390e-01 7.11689470e-01 4.94306755e-01
 9.03240486e-01 4.17927402e-01 9.47202598e-01 7.43943586e-01
 5.41530885e-01 2.08057472e-01 1.54756762e-01 6.03420766e-02]",-4.060473311424225,COMPLETE
9,0.2701457415914653,0.48922833951137423,186,151,"[0.97604077 0.81894189 0.26010644 0.65375793 0.01518264 0.69384028
 0.32713524 0.82555289 1.         0.91166497 0.49594323 0.78332179
 0.9840697  0.0586396  0.01900776 0.6650831  0.81929964 0.17263626
 0.0330269  0.38751249 1.         0.54653275 1.         0.818421
 1.         0.58416574 1.         0.11206062 0.92882146 0.77862479
 0.99512802 0.8897758  0.96861262 0.72594123 0.18017954 0.50500746
 0.40917721 0.03476375 0.74896968 0.95005562 0.82260363 0.75218142
 0.76198079 0.41654829 0.87836001 0.64015476 0.26181518 0.89773036
 0.88119157 0.2151312  0.72149171 0.30389159 0.00825613 0.68642558
 0.11055357 0.67405127 0.87217267 0.5716355  0.02339217 1.
 0.83539529 0.12373697 0.62699324 0.79934276 0.74089976 0.58099858
 0.96132279 0.47411977 0.70574762 0.02848225 0.69728188 0.69208416
 0.63816495 0.74127245 0.31452273 0.46542966 0.71168351 0.39863455
 0.9553594  1.         0.7555245  0.40063157 1.         1.
 0.48345206 0.29379473 0.908729   0.43756197 0.94730507 0.4165919
 0.65027965 0.30134388 0.0926183  0.17580728 0.05646907 0.70648079
 0.83063582 0.11185984 1.         0.08706987 0.77410854 0.26582777
 0.01645471 0.85145496 0.27540927 0.48771137 0.17001628 0.65743766
 1.         0.99489031 0.14417073 0.28832194 0.80180668 0.32795576
 0.19394169 0.12192272 0.96339555 0.72425976 0.84217065 0.65161439
 0.07893303 0.83442399 0.96946507 1.         0.00729041 0.7359973
 0.18359899 0.43431529 1.         0.41163265 0.40594607 1.
 1.         0.13237632 0.65101178 0.63430043 0.68118683 0.1078382
 0.68573105 0.0343297  0.61309142 0.69204982 0.71921885 0.85045252
 1.         1.         0.83795337 0.96768936 0.02967596 0.99882262
 0.18793632 0.96490131 0.48430847 1.         0.4376564  0.72071371
 0.50229825 0.60470421 0.39203616 0.05387382 0.9174027  0.11901577
 0.39446531 1.         0.07893653 0.99033905 0.71075831 0.45559066
 0.30173371 0.01895869 0.28945638 0.11722428 0.40385017 0.99493152
 0.24885    1.         0.36332415 0.26450894 0.20990553 0.80264006
 0.92501562 0.97890597 0.77434098 0.60061999 0.33048977 0.11531363
 0.74684284 1.         0.1121953  0.10407568 0.2568473  0.31066609
 1.         0.22827159 0.26747643 0.37775594 0.03621536 0.7439546
 0.04972548 0.01648725]",-5.78452828808026,COMPLETE
