trial_number,C1,C2,W,max_iter,size,best_positions,best_total_power,state
10,2.1090735483042917,2.473532587633546,0.7044676740660145,21,293,"[1.         0.         0.         1.         0.         1.
 0.         1.         1.         0.         1.         0.
 0.         0.         1.         0.         0.         0.
 1.         0.         1.         1.         0.         0.
 1.         0.         1.         0.         1.         0.
 1.         1.         1.         0.         1.         1.
 0.         1.         0.         1.         0.         0.
 1.         1.         0.         0.         0.         0.
 1.         0.         0.         0.         1.         0.
 1.         0.         1.         1.         0.         0.57593803
 0.         1.         0.         0.         0.         0.
 0.         0.         0.         1.         0.         1.
 1.         0.         1.         1.         0.         0.
 0.         0.         0.         0.         0.         1.
 0.         1.         0.         0.         0.         1.
 0.         1.         0.         1.         0.         1.
 0.         1.        ]",-2.950082381149413,COMPLETE
11,2.0794032130141207,2.488035774446028,0.7184587322467628,27,290,"[1. 1. 0. 1. 1. 1. 1. 1. 0. 0. 1. 0. 1. 0. 0. 0. 0. 0. 1. 0. 1. 0. 1. 1.
 0. 1. 0. 0. 0. 0. 1. 1. 1. 0. 0. 0. 1. 1. 0. 0. 1. 0. 1. 0. 0. 1. 0. 0.
 1. 0. 1. 0. 1. 0. 1. 0. 0. 1. 1. 0. 0. 1. 0. 1. 0. 0. 0. 1. 1. 0. 1. 1.
 0. 1. 0. 1. 1. 1. 0. 0. 1. 0. 1. 1. 0. 1. 0. 0. 0. 0. 0. 1. 0. 0. 1. 1.
 0. 1.]",-2.46073682795415,COMPLETE
12,2.212275422784083,2.066667099197299,0.7190174028516447,10,297,"[1.         0.         1.         0.         0.         0.
 1.         0.         1.         1.         1.         0.
 1.         0.         1.         0.         0.         1.
 1.         1.         0.         0.         1.         1.
 1.         0.         0.         0.         1.         0.
 0.         0.         1.         0.         0.         0.
 0.         1.         0.         1.         0.         0.
 1.         1.         0.         0.         0.         1.
 0.         0.         0.         0.         1.         0.
 0.         1.         1.         0.         1.         1.
 0.         0.         1.         0.         1.         1.
 0.         0.         0.         0.         0.         1.
 1.         0.99026788 0.         1.         0.         1.
 1.         1.         0.         0.         0.         0.
 0.         0.         1.         0.         0.         1.
 0.         1.         0.         1.         0.         1.
 0.         0.        ]",-2.588335372123177,COMPLETE
13,2.1771860455572227,2.498199605959961,0.17042416583245001,10,102,"[1. 0. 1. 1. 1. 0. 1. 0. 1. 0. 1. 1. 1. 1. 0. 0. 1. 1. 1. 0. 1. 1. 0. 1.
 0. 0. 1. 0. 1. 0. 1. 0. 1. 1. 0. 1. 1. 1. 1. 0. 1. 0. 1. 1. 0. 0. 1. 1.
 0. 1. 1. 1. 0. 1. 0. 0. 1. 0. 1. 0. 1. 1. 1. 1. 0. 0. 1. 1. 0. 0. 0. 0.
 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 1. 1. 1. 1. 0. 1. 0. 1. 0. 0. 0. 0. 0. 1.
 0. 0.]",-2.2288743944690443,COMPLETE
14,2.1668528928805655,2.3643295999428715,0.7015909944705706,17,272,"[1. 0. 1. 0. 0. 1. 1. 1. 0. 0. 0. 1. 1. 0. 0. 1. 1. 0. 1. 0. 1. 0. 1. 0.
 0. 0. 0. 1. 0. 1. 1. 1. 1. 0. 1. 0. 0. 1. 1. 0. 1. 0. 0. 1. 0. 1. 1. 1.
 0. 1. 1. 0. 0. 1. 0. 1. 1. 1. 1. 0. 1. 1. 1. 0. 1. 1. 0. 1. 0. 1. 0. 0.
 0. 0. 1. 1. 0. 0. 1. 1. 1. 0. 1. 0. 1. 1. 1. 0. 0. 1. 0. 0. 0. 0. 0. 1.
 1. 0.]",-2.4401510034954654,COMPLETE
15,2.0149923961382044,2.141579685141596,0.7307837212649366,43,107,"[1.         0.         1.         0.         1.         0.
 1.         1.         1.         0.         1.         0.
 1.         1.         1.         1.         0.         0.
 1.         1.         0.         0.         0.         0.
 0.         0.         1.         0.         0.         1.
 1.         1.         1.         0.         0.         1.
 0.         0.         1.         1.         1.         1.
 1.         0.         1.         0.         0.         0.
 0.         1.         1.         0.         0.         1.
 0.         1.         0.         1.         1.         1.
 1.         1.         0.         0.         1.         0.
 0.         0.         1.         0.         1.         1.
 0.         0.         0.         0.         0.30748501 1.
 0.         1.         1.         0.         1.         0.
 0.         1.         0.         1.         0.         1.
 0.         1.         0.         0.         0.         1.
 0.         0.        ]",-2.59791528678603,COMPLETE
16,1.974007794192859,2.167369829181069,0.6277831550885222,45,90,"[1.         0.         1.         0.         1.         1.
 1.         1.         1.         0.         1.         1.
 1.         0.         1.         0.         1.         0.
 0.         0.         1.         1.         1.         1.
 1.         0.         1.         0.         0.         1.
 0.         1.         1.         0.         1.         0.
 0.         1.         1.         1.         0.         0.
 1.         0.         1.         0.         1.         0.
 1.         0.         0.         1.         0.         1.
 0.         1.         0.         1.         1.         0.
 0.         1.         0.         0.         1.         0.
 0.         0.         0.         1.         1.         1.
 1.         0.         0.         1.         1.         0.
 1.         1.         1.         1.         0.         1.
 0.         1.         0.         1.         0.54246883 1.
 0.         0.         0.         0.         0.         1.
 0.         1.        ]",-2.7377501992372313,COMPLETE
17,1.881209168807436,2.369197995623906,0.6077089648071767,50,68,"[0.         1.         1.         1.         1.         0.
 1.         1.         1.         0.         0.         0.
 1.         0.         0.         1.         1.         0.
 1.         0.         1.         0.         1.         1.
 0.         0.         0.         1.         1.         1.
 0.         1.         0.         0.         1.         1.
 0.76809299 1.         1.         0.         1.         0.
 0.         1.         0.         1.         0.         1.
 1.         1.         0.67990235 0.         1.         1.
 0.         0.         1.         0.         1.         0.
 0.         0.         1.         0.         0.         1.
 0.         1.         0.         1.         0.         1.
 0.         1.         0.         1.         0.         1.
 0.         1.         1.         0.         1.         0.
 0.         1.         1.         0.         0.         1.
 0.         1.         0.         1.         0.         1.
 0.         1.        ]",-2.687049872700964,COMPLETE
18,1.5665248065576003,2.1524833213509904,0.6366144465897208,183,158,"[1. 1. 1. 0. 0. 0. 1. 1. 0. 1. 1. 1. 0. 1. 0. 0. 0. 0. 1. 1. 0. 1. 0. 1.
 1. 0. 0. 0. 1. 0. 1. 1. 0. 0. 1. 0. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 1.
 1. 1. 1. 1. 1. 0. 1. 0. 0. 1. 0. 0. 0. 1. 0. 0. 1. 0. 0. 1. 0. 0. 1. 0.
 1. 0. 0. 0. 1. 0. 1. 0. 0. 1. 0. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 1. 0. 1.
 1. 0.]",-2.3488654371155384,COMPLETE
19,1.711426905503926,1.7062290372380602,0.7864967293032571,19,96,"[0. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 1. 0. 1. 1. 1. 1. 1. 1. 1. 1. 0. 1. 0.
 1. 1. 1. 0. 1. 1. 1. 1. 0. 1. 0. 0. 0. 0. 0. 1. 0. 0. 0. 1. 1. 0. 1. 1.
 0. 0. 1. 0. 0. 0. 1. 0. 1. 0. 1. 0. 0. 1. 0. 0. 1. 0. 1. 1. 0. 1. 1. 1.
 0. 0. 0. 0. 0. 0. 1. 0. 0. 1. 1. 1. 0. 1. 0. 0. 0. 0. 0. 1. 0. 0. 1. 1.
 1. 0.]",-2.235626697961396,COMPLETE
