trial_number,C1,C2,W,max_iter,size,best_positions,best_total_power,state
10,2.0545229256990245,2.473532587633546,0.6728259041276834,309,75,"[0.00000000e+00 1.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 1.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 5.24446195e-01 0.00000000e+00
 1.00000000e+00 0.00000000e+00 0.00000000e+00 1.00000000e+00
 9.70642778e-01 9.05743730e-04 1.00000000e+00 0.00000000e+00
 0.00000000e+00 1.00000000e+00 1.00000000e+00 5.42342222e-01
 1.00000000e+00 1.00000000e+00 4.59720747e-01 0.00000000e+00
 1.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 1.00000000e+00 0.00000000e+00 0.00000000e+00 4.83264722e-04
 1.00000000e+00 1.00000000e+00 1.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 8.29913764e-01
 1.00000000e+00 0.00000000e+00 1.00000000e+00 1.00000000e+00
 0.00000000e+00 0.00000000e+00 1.00000000e+00 0.00000000e+00
 1.00000000e+00 3.25733287e-01 0.00000000e+00 0.00000000e+00
 1.00000000e+00 1.00000000e+00 0.00000000e+00 1.00000000e+00
 0.00000000e+00 0.00000000e+00 1.49087560e-01 0.00000000e+00
 0.00000000e+00 3.45927806e-02 1.00000000e+00 9.96514172e-01
 4.86157947e-01 5.31381899e-01 1.59069489e-01 0.00000000e+00
 0.00000000e+00 7.49546839e-01 1.61813941e-01 1.00000000e+00
 0.00000000e+00 1.00000000e+00 1.00000000e+00 1.00000000e+00
 0.00000000e+00 1.00000000e+00 1.00000000e+00 1.00000000e+00
 1.00000000e+00 0.00000000e+00 1.00000000e+00 4.04097713e-02
 0.00000000e+00 7.42464171e-01 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 1.00000000e+00 0.00000000e+00
 1.00000000e+00 2.15287082e-01]",-3.230097975806427,COMPLETE
11,2.0794032130141207,2.487860979332701,0.1303101870204451,327,85,"[0.00000000e+00 1.00000000e+00 0.00000000e+00 0.00000000e+00
 1.00000000e+00 8.65244723e-01 2.33969105e-01 0.00000000e+00
 0.00000000e+00 1.00000000e+00 7.63635189e-01 3.31277913e-01
 9.79058589e-01 0.00000000e+00 8.19871070e-03 0.00000000e+00
 9.82802995e-02 1.95575315e-01 0.00000000e+00 1.00000000e+00
 1.00000000e+00 0.00000000e+00 1.00000000e+00 5.73653485e-01
 1.00000000e+00 7.89863974e-01 1.79050596e-01 0.00000000e+00
 0.00000000e+00 1.00000000e+00 9.98193953e-01 4.74628977e-01
 0.00000000e+00 1.00000000e+00 6.62307474e-01 1.00000000e+00
 0.00000000e+00 1.00000000e+00 1.00000000e+00 1.00000000e+00
 0.00000000e+00 5.81988570e-01 0.00000000e+00 1.00000000e+00
 8.27003209e-01 1.00000000e+00 4.25859407e-02 1.00000000e+00
 1.00000000e+00 0.00000000e+00 1.00000000e+00 2.93190625e-01
 1.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 8.30770422e-01 1.00000000e+00 9.95643740e-01 1.00000000e+00
 7.78665549e-01 1.00000000e+00 1.40166655e-01 2.45700976e-04
 6.12065617e-02 1.99207034e-02 3.42989743e-01 5.24245359e-01
 0.00000000e+00 2.27150610e-01 1.00000000e+00 1.68497448e-01
 0.00000000e+00 1.00000000e+00 1.00000000e+00 2.38633044e-01
 7.27170932e-02 0.00000000e+00 1.47984775e-01 1.88244297e-01
 0.00000000e+00 6.13893455e-02 1.00000000e+00 1.00000000e+00
 1.00000000e+00 0.00000000e+00 0.00000000e+00 9.08898352e-01
 6.63529717e-01 1.00000000e+00 7.61511871e-01 1.00000000e+00
 1.02502574e-01 0.00000000e+00 9.84315674e-01 0.00000000e+00
 0.00000000e+00 1.00000000e+00]",-2.3747126514496064,COMPLETE
12,1.9313636327492394,2.064192542049206,0.6851844431329223,313,103,"[0.00000000e+00 7.71817202e-04 0.00000000e+00 0.00000000e+00
 0.00000000e+00 1.00000000e+00 5.33347005e-01 1.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 1.00000000e+00
 0.00000000e+00 2.64414863e-03 0.00000000e+00 1.00000000e+00
 1.00000000e+00 0.00000000e+00 1.00000000e+00 0.00000000e+00
 0.00000000e+00 9.88810855e-01 1.00000000e+00 0.00000000e+00
 1.00000000e+00 0.00000000e+00 0.00000000e+00 1.00000000e+00
 1.00000000e+00 0.00000000e+00 1.00000000e+00 4.86494874e-01
 7.75851583e-01 1.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 9.18017063e-04 1.00000000e+00 1.00000000e+00
 1.00000000e+00 0.00000000e+00 1.00000000e+00 9.97455954e-01
 1.00000000e+00 0.00000000e+00 1.00000000e+00 1.00000000e+00
 9.99709195e-01 1.00000000e+00 0.00000000e+00 0.00000000e+00
 9.34463292e-01 0.00000000e+00 1.00000000e+00 1.00000000e+00
 0.00000000e+00 1.00000000e+00 5.97091278e-01 1.00000000e+00
 0.00000000e+00 1.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 5.45644007e-01 0.00000000e+00 0.00000000e+00
 9.09809150e-03 1.00000000e+00 0.00000000e+00 1.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 1.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 1.00000000e+00 0.00000000e+00 1.00000000e+00
 1.00000000e+00 0.00000000e+00 1.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 1.00000000e+00 0.00000000e+00
 0.00000000e+00 1.00000000e+00 9.70187809e-01 1.00000000e+00
 1.89837546e-01 0.00000000e+00]",-3.0817786432222696,COMPLETE
13,2.155041299655143,2.498190421844208,0.7063749605932248,408,109,"[0.         1.         0.         1.         1.         0.
 0.         0.         0.         0.         1.         1.
 0.         0.         1.         0.27472843 1.         1.
 0.35228908 0.         0.         0.         1.         1.
 1.         0.         1.         0.         0.94417505 1.
 1.         0.         0.         1.         1.         0.
 0.         0.         0.         1.         1.         1.
 0.03816267 0.9326504  0.         0.         1.         1.
 0.         1.         1.         1.         0.         0.46271787
 0.         0.         1.         0.         0.         0.
 0.         1.         0.         1.         1.         1.
 0.         0.71728784 0.80513516 1.         1.         0.
 0.         1.         0.         1.         0.         1.
 1.         1.         1.         1.         1.         1.
 0.         1.         1.         0.         0.         0.72514318
 0.         1.         0.         1.         0.         0.
 0.         0.        ]",-2.684098160515751,COMPLETE
14,1.5272582398057468,2.3643295999428715,0.7015909944705706,388,237,"[0.         0.         0.         1.         0.18693614 1.
 1.         0.         0.         1.         0.19713153 0.27933446
 1.         0.         0.         0.         0.         1.
 0.09764933 0.34966379 1.         1.         1.         1.
 1.         0.         0.         1.         0.01934398 1.
 0.23073181 1.         0.         0.51510879 0.03229771 1.
 1.         1.         0.         1.         1.         0.97907819
 0.         0.         1.         0.         0.         0.83580881
 0.         0.         1.         1.         1.         0.85302508
 1.         1.         0.         0.         0.         1.
 1.         0.99943477 1.         0.         0.         0.
 0.         0.         0.99970232 1.         1.         1.
 1.         1.         1.         1.         0.         0.
 1.         1.         0.         1.         0.03023126 0.
 0.         0.013833   1.         1.         0.         1.
 0.99702372 0.         0.         1.         1.         0.
 0.36719866 0.56694127]",-2.48507979129042,COMPLETE
15,1.9086275345280836,2.141579685141596,0.7144307890584466,171,51,"[0.00000000e+00 1.00000000e+00 1.00000000e+00 1.00000000e+00
 0.00000000e+00 2.75774735e-01 1.00000000e+00 1.00000000e+00
 0.00000000e+00 1.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 1.00000000e+00
 0.00000000e+00 1.00000000e+00 1.00000000e+00 1.00000000e+00
 0.00000000e+00 0.00000000e+00 1.00000000e+00 1.00000000e+00
 1.00000000e+00 1.00000000e+00 0.00000000e+00 1.00000000e+00
 0.00000000e+00 5.43584275e-04 1.00000000e+00 4.78733811e-01
 0.00000000e+00 1.00000000e+00 1.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 1.00000000e+00
 0.00000000e+00 0.00000000e+00 1.00000000e+00 0.00000000e+00
 1.00000000e+00 1.00000000e+00 0.00000000e+00 1.00000000e+00
 0.00000000e+00 1.00000000e+00 1.00000000e+00 1.00000000e+00
 1.00000000e+00 0.00000000e+00 4.84588292e-01 1.00000000e+00
 0.00000000e+00 1.00000000e+00 1.00000000e+00 6.70532204e-01
 1.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 1.00000000e+00 0.00000000e+00 0.00000000e+00 1.00000000e+00
 1.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 1.00000000e+00
 1.00000000e+00 1.00000000e+00 1.00000000e+00 1.00000000e+00
 1.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 1.00000000e+00 0.00000000e+00 1.00000000e+00
 1.00000000e+00 0.00000000e+00 1.00000000e+00 1.25961348e-01
 1.00000000e+00 0.00000000e+00]",-2.2692300035482424,COMPLETE
16,1.7484683913456025,2.10571348513709,0.6178275694801441,569,115,"[0.         1.         0.46568301 1.         0.17983688 0.
 0.90701291 1.         0.14798933 0.         1.         0.
 1.         0.         1.         0.         1.         0.99504694
 0.         1.         0.00171585 0.         0.         0.
 0.         1.         0.         0.         0.         1.
 0.45174168 0.47753339 0.         0.         1.         1.
 1.         0.         0.         0.         1.         0.
 0.         0.         1.         1.         1.         0.
 0.         0.29937039 1.         1.         1.         0.99132832
 1.         0.         1.         0.91185352 0.         1.
 0.         1.         0.00142794 0.         1.         0.00543134
 0.9970499  0.         1.         0.         0.         0.
 0.         0.51307131 1.         0.         0.99999763 0.47430471
 0.87853757 1.         0.05609119 0.47488149 0.49677485 1.
 0.         1.         0.         0.         0.         0.
 0.99979004 0.6816638  1.         1.         0.         0.
 1.         0.        ]",-2.881767088979136,COMPLETE
17,2.030766505660871,1.7077400805734422,0.7763811928781759,206,75,"[0.00000000e+00 1.00000000e+00 0.00000000e+00 2.70096532e-04
 1.00000000e+00 1.00000000e+00 3.45999976e-01 1.00000000e+00
 1.00000000e+00 1.00000000e+00 4.58284085e-01 1.00000000e+00
 9.99499218e-01 4.94935548e-01 9.92501629e-01 1.00000000e+00
 1.00000000e+00 1.00000000e+00 1.00000000e+00 3.93020324e-03
 0.00000000e+00 1.00000000e+00 0.00000000e+00 0.00000000e+00
 2.63896752e-01 0.00000000e+00 0.00000000e+00 0.00000000e+00
 1.00000000e+00 0.00000000e+00 1.00000000e+00 1.00000000e+00
 1.00000000e+00 0.00000000e+00 0.00000000e+00 1.44621308e-01
 0.00000000e+00 1.33639946e-02 0.00000000e+00 0.00000000e+00
 1.00000000e+00 1.00000000e+00 6.05456640e-01 0.00000000e+00
 0.00000000e+00 5.23833283e-01 0.00000000e+00 7.05637139e-01
 1.00000000e+00 0.00000000e+00 0.00000000e+00 1.00000000e+00
 1.00000000e+00 1.00000000e+00 9.94964694e-01 0.00000000e+00
 9.90175255e-01 3.24847181e-04 1.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 3.32586540e-01
 9.87776321e-01 1.00000000e+00 3.79365675e-04 1.00000000e+00
 9.93711241e-01 1.00000000e+00 1.00000000e+00 1.00000000e+00
 0.00000000e+00 1.00000000e+00 0.00000000e+00 7.83182242e-01
 0.00000000e+00 1.66863572e-01 1.00000000e+00 0.00000000e+00
 1.00000000e+00 5.15651242e-01 0.00000000e+00 1.00000000e+00
 0.00000000e+00 1.00000000e+00 1.00000000e+00 0.00000000e+00
 2.31613415e-03 1.00000000e+00 0.00000000e+00 6.85569780e-01
 0.00000000e+00 1.00000000e+00 1.00000000e+00 1.00000000e+00
 1.00000000e+00 5.54012178e-01]",-2.8278545299104456,COMPLETE
18,2.181551920708889,2.3692351869451374,0.2748338031632678,45,35,"[0.         1.         1.         0.         0.92510422 0.489076
 0.99373336 1.         1.         1.         0.         1.
 1.         1.         0.13728178 0.         0.98483988 0.2228864
 1.         0.06255539 0.         0.01567776 0.99997044 0.99719176
 0.97262732 0.         0.         1.         0.03794319 0.
 1.         0.9981852  0.         1.         0.         0.36837913
 0.         0.         0.03608087 1.         1.         0.
 0.         0.95784588 0.12003524 0.         1.         0.99337392
 0.57811082 1.         0.33673658 0.65272214 0.00171548 0.00737494
 0.70432363 0.83800868 0.02098469 0.02315492 1.         0.36339941
 0.         0.68266491 1.         1.         0.98114079 0.91223241
 1.         1.         1.         0.53257369 0.00492119 0.
 0.         0.29858877 1.         0.         0.96125025 1.
 0.         0.06239968 1.         1.         0.         1.
 0.         0.30142923 0.35834505 0.78938638 0.         1.
 1.         0.00487053 0.         0.06243959 0.76805145 1.
 0.16086733 0.74362498]",-2.32449104465673,COMPLETE
19,1.961941245387385,1.9388440366521034,0.6425784889397662,265,288,"[0.         1.         0.         1.         0.27481835 1.
 0.         1.         1.         1.         0.12502057 0.93470175
 0.9625171  1.         0.         0.         1.         0.62628858
 1.         1.         1.         1.         1.         1.
 1.         0.         0.         0.         0.00232595 0.
 0.         0.         0.         0.         0.         1.
 1.         0.         1.         1.         1.         1.
 0.         1.         1.         0.         0.         0.68967429
 0.         1.         0.38958887 0.         0.         0.
 1.         0.         0.         0.         1.         1.
 1.         1.         0.         0.         0.         1.
 1.         0.         0.         0.         0.         1.
 0.         0.         0.1976529  1.         0.         0.
 1.         1.         0.         1.         1.         1.
 0.98971003 1.         1.         1.         1.         1.
 0.90405187 0.         1.         0.         0.         1.
 0.28204867 0.10608081]",-3.4328747662356767,COMPLETE
