trial_number,state,kernel,gamma,C,mse,rmse,mae
0,COMPLETE,linear,0.003913515648020544,0.08529298465080307,0.2675345284591185,0.5172374004836836,0.38798068202413827
1,COMPLETE,linear,0.0036984862977713067,0.8195343912941568,0.26417081268669945,0.5139754981384808,0.3782189186066582
2,COMPLETE,poly,0.013712723599669366,3.0111222251271013,0.17528466359849884,0.41867011309442526,0.30415222728615043
3,COMPLETE,poly,0.0010030489705538156,0.07502469581683284,0.9888518902588828,0.9944103228843125,0.7966502605418858
4,COMPLETE,linear,0.0009255340046547168,0.019220796427135513,0.28950240778086134,0.5380542795860482,0.40979177753859286
5,COMPLETE,poly,0.0010873887511663955,86.89559256549153,0.7189527735509844,0.8479108287732764,0.680843564037151
6,COMPLETE,poly,0.019610126450170427,56.91354705657853,0.09517753163123376,0.30850856006152205,0.20892798510414629
7,COMPLETE,linear,0.025302746180755568,3.5723600542966367,0.27055857493134866,0.5201524535473697,0.3793835143541229
8,COMPLETE,poly,0.0001247453797044984,0.6634241679376875,0.9891088159158021,0.9945394994246343,0.7967569752589736
9,COMPLETE,linear,0.00013083890261994982,0.6105083807148418,0.2633846222600554,0.5132101151186085,0.3782466430247458
10,COMPLETE,rbf,0.07244162339275574,47.851585130323556,0.07833897566044533,0.27989100675163775,0.1792842533714282
11,COMPLETE,rbf,0.09043550711370334,94.05317730765385,0.07945349006999798,0.2818749546696158,0.18065109644492147
12,COMPLETE,rbf,0.09222934458879155,17.17539681779692,0.07626684320976453,0.27616452199687874,0.17766092043001275
13,COMPLETE,rbf,0.09751697000820583,14.471290944170889,0.07602438890853773,0.2757252054284079,0.1774172992674008
14,COMPLETE,rbf,0.04127998270440961,19.33429046851011,0.08220564019815053,0.28671525979297047,0.18942737836976184
15,COMPLETE,rbf,0.009015665084621871,8.956295759657866,0.11158982405974487,0.3340506309824079,0.23361363036732244
16,COMPLETE,rbf,0.04847009997597607,13.091419011810673,0.08143977777508998,0.2853765543542251,0.18815574352514625
17,COMPLETE,rbf,0.09306416044869911,2.9159326904528076,0.07783924107462604,0.27899684778618206,0.1833461888223202
18,COMPLETE,rbf,0.006962817970680274,6.767813485180745,0.1341507428784379,0.3662659455620163,0.26071267285181604
19,COMPLETE,rbf,0.033988001034785824,24.411395569133028,0.08356065231655152,0.2890685944833017,0.19208811870440143
20,COMPLETE,rbf,0.00043010754749687585,0.20431438663902812,0.8023269031630498,0.8957270249149848,0.7194313837166655
21,COMPLETE,rbf,0.09963290490487894,2.338846876598809,0.0775912020363087,0.2785519736715371,0.18323797704321626
22,COMPLETE,rbf,0.052293987187557886,1.4729744758755745,0.08886706640516405,0.2981057973357178,0.2016690182252528
23,COMPLETE,rbf,0.01646806280695373,6.002986985082087,0.09956089983120517,0.31553272386743847,0.21727229905991538
24,COMPLETE,rbf,0.08980582995709925,25.665674751322683,0.07695437839898218,0.27740652191140386,0.17784711820527904
25,COMPLETE,rbf,0.026751579113308173,30.247430928698794,0.08508595460481537,0.29169496842560616,0.19501695209309972
26,COMPLETE,rbf,0.05956407801466024,13.630726410872105,0.0794800575641931,0.2819220771138598,0.18418819508430295
27,COMPLETE,rbf,0.0099274998058042,34.718706058787845,0.09440456330584895,0.30725325597273817,0.2084828003811401
28,COMPLETE,rbf,0.038240885852636394,6.4748533915982,0.0859511424292309,0.2931742526710538,0.1966731711978553
29,COMPLETE,rbf,0.00218104076078488,13.460111844216812,0.20672285968564927,0.45466785644649355,0.33552321738452323
30,COMPLETE,linear,0.006892757584444186,59.54641816654646,0.27425171696468614,0.5236904782070093,0.38011334251945694
31,COMPLETE,rbf,0.09707782351408396,1.5890058880245632,0.0789293440832075,0.28094366709930924,0.18585748006084665
32,COMPLETE,rbf,0.05463366354140136,4.1628821849656665,0.08279147473593984,0.2877350773470969,0.19197131208822962
33,COMPLETE,rbf,0.09886939581772945,2.015637518796917,0.07797753483790382,0.2792445788872253,0.18404068916628638
34,COMPLETE,rbf,0.027472937766777075,0.2950478967977038,0.16326749589689785,0.4040637275194321,0.29490710700274386
35,COMPLETE,poly,0.06135581895858609,17.603923999966533,0.09247172714460684,0.3040916426747155,0.1991992663667801
36,COMPLETE,linear,0.0675812902226302,33.16526547085021,0.27409614590923337,0.5235419237360398,0.3801827489316416
37,COMPLETE,rbf,0.01943684474941449,0.018322750100247545,0.5479416169380905,0.7402307862674252,0.5974852118420169
38,COMPLETE,poly,0.002369524398818453,8.742956546362523,0.7110640986092764,0.8432461672662832,0.6772578930500995
39,COMPLETE,rbf,0.03127361177617891,0.04600474479282639,0.3053282639326539,0.5525651671365595,0.42814768370321593
40,COMPLETE,linear,0.011632525552960071,0.877018111030324,0.26460084671127443,0.5143936690038812,0.37828878057294846
41,COMPLETE,rbf,0.0775907851725833,4.566711611385268,0.07875831041921867,0.2806391106371645,0.1842247884993965
42,COMPLETE,rbf,0.045331718256682266,2.4831404269456705,0.08810080387012323,0.2968177957436569,0.1997887840257891
43,COMPLETE,rbf,0.09490399153302098,2.980165435209249,0.07770479018492042,0.2787557895092413,0.18290949960213665
44,COMPLETE,poly,0.07094918377443053,9.811033398827405,0.09231011773210286,0.30382580162340206,0.19945243979556965
45,COMPLETE,rbf,0.03889289003440816,0.3325517408823519,0.1279074041718492,0.3576414463842931,0.2549960118565716
46,COMPLETE,rbf,0.0993887329994844,1.2544555097009016,0.0797935511231453,0.2824775232175921,0.18741346680723958
47,COMPLETE,rbf,0.06980668815280558,51.27425405973084,0.07851140314755449,0.2801988635729176,0.17955396250426406
48,COMPLETE,linear,0.00031321620551577557,3.8426855534351905,0.270717630016204,0.5203053238399584,0.37941201481827336
49,COMPLETE,rbf,0.02025087743951386,20.055437825189347,0.08906476377089256,0.2984372023908758,0.2011499224478052
50,COMPLETE,poly,0.00440415326083593,69.31003406279042,0.19034141322540993,0.4362813464101003,0.3197050624842207
51,COMPLETE,rbf,0.07933948951220551,2.592204693776054,0.0795744851883337,0.28208949854316395,0.1867275500791219
52,COMPLETE,rbf,0.048447673698096536,2.9329363156384836,0.08614342863356522,0.29350200788676933,0.1968822284359613
53,COMPLETE,rbf,0.07856963268247796,0.7079120638771156,0.08694514132527016,0.2948646152478628,0.1996407487155692
54,COMPLETE,rbf,0.09942126596629842,0.4812422454989254,0.08588369873028658,0.29305920686831627,0.1985045966063446
55,COMPLETE,rbf,0.05416685179778385,5.602071945260775,0.08182102495786477,0.28604374658059695,0.1903227769844057
56,COMPLETE,rbf,0.03789133909076643,40.546946790299494,0.08199925459087702,0.2863551197217836,0.18853625630971055
57,COMPLETE,rbf,0.02352597477619238,10.5856741658732,0.0898543522099064,0.2997571553940062,0.20203606054891227
58,COMPLETE,rbf,0.06099151711664662,25.729462304304146,0.0781660605408248,0.2795819388673467,0.18166593026858796
59,COMPLETE,rbf,0.04645990533201509,1.0705370159272727,0.09448187710785895,0.30737904467913707,0.21087425940718285
60,COMPLETE,rbf,0.03080213822031567,0.011970772888094169,0.5503928901622215,0.7418846879146526,0.5987576005881415
61,COMPLETE,rbf,0.08338602336166853,2.179760788332019,0.07959156418568061,0.2821197692216563,0.1867939463336198
62,COMPLETE,rbf,0.09675995538822342,1.8130363716045343,0.07849376024820748,0.28016737898657557,0.1850699684816157
63,COMPLETE,rbf,0.06252159677470484,7.438343860925623,0.07999894484231852,0.282840847195589,0.18598415561679
64,COMPLETE,rbf,0.0813425032112509,1.863506596223616,0.08059341376607625,0.2838897915848265,0.1884696252138714
65,COMPLETE,rbf,0.0534705731083752,3.945750928276335,0.08337836006277967,0.2887531126460452,0.19285228505070898
66,COMPLETE,linear,0.04196465361901018,15.043513507157073,0.27353530748648097,0.5230060300670356,0.3800397936207076
67,COMPLETE,rbf,0.06956818696667216,1.2913744287261884,0.08478411521152235,0.291177120000048,0.19530580452925284
68,COMPLETE,rbf,0.0008666800127693345,5.466753762573235,0.2991779310986332,0.5469715999013415,0.4197546442216644
69,COMPLETE,poly,0.09720198001943256,20.163766586828082,0.09497011909827902,0.3081722231127897,0.19677303594859638
70,COMPLETE,rbf,0.03348188118891589,0.10568259489171904,0.2136653316136032,0.46223947431348095,0.34700902156535535
71,COMPLETE,rbf,0.06301745890280454,26.32894280129437,0.07781692612229955,0.2789568535137639,0.1809691539143682
72,COMPLETE,rbf,0.08449265445471911,87.37937011939327,0.07928905730408876,0.2815831268099862,0.18034065502739982
73,COMPLETE,rbf,0.062470130573628636,24.999681662201557,0.07798731017307113,0.27926208151675574,0.18134315783103966
74,COMPLETE,rbf,0.05347779533650097,12.081884431967275,0.0807556488299013,0.28417538392672453,0.18680046193776137
75,COMPLETE,rbf,0.07570113788532067,3.3197185987962867,0.07940650086237633,0.28179159118464897,0.18625619072780086
76,COMPLETE,rbf,0.09915921100442354,39.48555374335612,0.07766309748039907,0.2786809959082231,0.1785998625327008
77,COMPLETE,rbf,0.04532337763675674,33.042791946782046,0.08079840498729499,0.28425060243963424,0.1859484433871806
78,COMPLETE,linear,0.06746343549842868,68.82744679943,0.27432235333441035,0.523757914817915,0.3801527175679338
79,COMPLETE,rbf,0.08326130402369948,45.39997885781807,0.07811021076386443,0.2794820401454527,0.17889509357741917
80,COMPLETE,rbf,0.05869529265277303,16.496687013214586,0.07937142417098403,0.2817293455978344,0.18369913253059067
81,COMPLETE,rbf,0.09623292919824966,39.97865495839392,0.07773362373613137,0.27880750301261864,0.17866792687544386
82,COMPLETE,rbf,0.09899577381079132,41.39501951445869,0.07774814852079213,0.27883354984791936,0.17869425661885208
83,COMPLETE,rbf,0.00010067428724027382,42.05660188157719,0.30924207887242317,0.5560953864872673,0.42779437370355616
84,COMPLETE,rbf,0.08539949256866784,64.58117141389978,0.07877400298746016,0.28066706787127726,0.1797319867186733
85,COMPLETE,rbf,0.06858111422151825,27.765193457190776,0.07770664012026272,0.278759107690247,0.17971427136981272
86,COMPLETE,poly,0.07269764143538957,20.587481994184106,0.09290196002279656,0.30479822837870396,0.19659965538160845
87,COMPLETE,rbf,0.0976706539925283,33.34918918957759,0.07744583494122292,0.27829091782022447,0.17825739914728383
88,COMPLETE,rbf,0.0012572288690484166,29.8424717866738,0.21682318609970788,0.4656427666137507,0.3447223016971191
89,COMPLETE,rbf,0.05126228008358327,53.52575217407867,0.0793387317316595,0.2816713186173905,0.18195996874868964
90,COMPLETE,rbf,0.03974779410920055,8.067102076734159,0.08446101612502577,0.29062177503591463,0.19453832295662815
91,COMPLETE,rbf,0.09169603474697978,36.599404422035576,0.07763545482551286,0.2786313959795501,0.1783966165366149
92,COMPLETE,rbf,0.08504667927398833,33.45251362461622,0.07761520192079203,0.2785950500651295,0.17830900797332708
93,COMPLETE,rbf,0.07421090106033508,32.53122437417735,0.0773232408951327,0.2780705681929188,0.17888676767680955
94,COMPLETE,rbf,0.08229532272199146,21.84202268903865,0.07671738796068021,0.2769790388471305,0.1782999289626564
95,COMPLETE,rbf,0.08125046682119448,97.09004823256548,0.07958201891665027,0.28210285166344967,0.18067101787458273
96,COMPLETE,rbf,0.07251882413553866,21.708297710077364,0.07724646347408994,0.27793248006321597,0.17949188090279042
97,COMPLETE,rbf,0.05664316828053519,12.159539589005972,0.08033433260653251,0.2834331184010304,0.18589887229910756
98,COMPLETE,linear,0.07356327934544561,19.536617645608338,0.2738699278651813,0.5233258333630982,0.3801091342177582
99,COMPLETE,rbf,0.00021285700147283325,22.79656472367613,0.30427209086337165,0.5516086392211162,0.4235667183082384
100,COMPLETE,rbf,0.04773590116109975,16.042940563895236,0.08140295513003602,0.2853120311694479,0.18779056394014754
101,COMPLETE,rbf,0.08616721524939466,33.691485523577086,0.07759883402545992,0.27856567273348654,0.17825929766977333
102,COMPLETE,rbf,0.08425294822904342,33.663180815290524,0.07764226365296671,0.27864361405380655,0.17836888185287728
103,COMPLETE,rbf,0.06311864988780268,75.95723676154583,0.07922453200818536,0.28146852756247076,0.18025298055650774
104,COMPLETE,rbf,0.07313659057640837,55.43158433918334,0.07856920512770695,0.28030198916116694,0.17948463776456305
105,COMPLETE,rbf,0.08412466318962913,10.280900413748553,0.07664067813303675,0.2768405283426485,0.1796059803715873
106,COMPLETE,rbf,0.03560447793003454,10.575364385190648,0.08485116062861464,0.291292225486048,0.19511515775741414
107,COMPLETE,poly,0.05619427446503634,15.210366561955036,0.09190662505873619,0.30316105465368764,0.1998462417942466
108,COMPLETE,rbf,0.04338977077908951,12.053940577337919,0.08253319997860296,0.2872859202582037,0.19071742898735833
109,COMPLETE,rbf,0.08358280394399836,21.294726097158033,0.07666376468705458,0.2768822216883102,0.17821531827690631
110,COMPLETE,rbf,0.02964206018837766,22.89213188001629,0.08466834131779595,0.2909782488740283,0.19449516583907803
111,COMPLETE,rbf,0.08516933549211061,29.797693436518923,0.07727266787100848,0.2779796177258478,0.17817182235223497
112,COMPLETE,rbf,0.07193205412306486,17.55705251888858,0.07725021881586004,0.27793923583377006,0.18018894602363333
113,COMPLETE,rbf,0.005286260009840386,17.897423128096754,0.12071133374173507,0.34743536627944926,0.24445862723661219
114,COMPLETE,rbf,0.06862228908071114,14.136139846437374,0.07808832348737123,0.27944288054515043,0.1816647265462354
115,COMPLETE,rbf,0.07504164098624902,8.568578942287829,0.0782661760439816,0.2797609265855073,0.1820996098536508
116,COMPLETE,rbf,0.05154465457348959,28.985743963061697,0.07947226634401822,0.28190825873680647,0.18389940438116503
117,COMPLETE,rbf,0.062282105252040795,23.052653686094867,0.07808186194489451,0.2794313188332591,0.1816575975949318
118,COMPLETE,rbf,0.07665027724863938,10.181184280246383,0.07767300953562514,0.2786987792144507,0.18103721117560476
119,COMPLETE,rbf,0.05959754785425943,18.217163795173008,0.0790917455505953,0.28123254710398526,0.18306259322359605
120,COMPLETE,linear,0.08875895473084965,25.285152714475593,0.27392727338291284,0.5233806199917158,0.38014461325915244
121,COMPLETE,rbf,0.08825750669933795,46.93166234618613,0.07810920449309888,0.27948023989738324,0.17903224656447575
122,COMPLETE,rbf,0.0681069955664559,30.1187841885297,0.07767879173230245,0.27870915258079065,0.17959834951516376
123,COMPLETE,rbf,0.09954755493645881,20.9373261371947,0.07658920269007621,0.27674754324126566,0.17731414179147537
124,COMPLETE,rbf,0.07690733232805883,14.866540093984781,0.07688952750219934,0.27728960943785713,0.1796388079268135
125,COMPLETE,rbf,0.048790255435451596,13.429785664019398,0.08133090504195288,0.28518573779548106,0.1879510032528753
126,COMPLETE,rbf,0.0995431008218658,17.70592150804556,0.07624228424331593,0.27612005404047696,0.177358483499809
127,COMPLETE,rbf,0.07889001347249897,16.80363500465086,0.07671270011517117,0.27697057626248167,0.1790235476332992
128,COMPLETE,rbf,0.05785091549256807,6.588769340722329,0.08084048770152956,0.28432461677021487,0.18796955509760968
129,COMPLETE,poly,0.014283746579725547,15.61253170607152,0.11426229198301126,0.3380270580634208,0.2347124689215155
130,COMPLETE,rbf,0.07897289454478901,20.83576097067693,0.07697267692527433,0.2774395013787228,0.17869844934641144
131,COMPLETE,rbf,0.08043651805262732,19.637545371953518,0.07691431180497668,0.27733429612108323,0.17862032685710577
132,COMPLETE,rbf,0.06580988085968446,19.609997180195347,0.07778885593631697,0.2789065362022141,0.181275883452485
133,COMPLETE,rbf,0.07802204984014728,13.229856916977822,0.07683064228954266,0.27718340911667616,0.17978091234175794
134,COMPLETE,rbf,0.07850473743455262,11.930435033701547,0.07700796314702112,0.27750308673422197,0.18014900010852683
135,COMPLETE,rbf,0.0825239033573263,9.818162963484067,0.07701466430530601,0.277515160496334,0.18004383157394568
136,COMPLETE,rbf,0.09750825987277116,13.27792038420786,0.07602993862581224,0.2757352691002953,0.17745467423601158
137,COMPLETE,rbf,0.09188775453716791,7.725999960429288,0.07653326588332683,0.27664646371014184,0.1792880246595011
138,COMPLETE,rbf,0.09706622538651744,5.494475590031621,0.07675266279879754,0.27704270934063135,0.17991064888577984
139,COMPLETE,rbf,0.09944590969744299,4.797115624052053,0.07690024739289182,0.27730893853767463,0.18021205315489205
140,COMPLETE,rbf,0.09270838448980377,4.736203976336103,0.07756600690618401,0.27850674481273163,0.18135557309662306
141,COMPLETE,rbf,0.0929905217665,9.029547101870405,0.07598553667105848,0.2756547417895409,0.17855586145418412
142,COMPLETE,rbf,0.09868943484093042,8.28992069789768,0.07569948062356224,0.2751353859894475,0.17806734735327287
143,COMPLETE,rbf,0.08936345392749093,6.889368706228673,0.07696242435844712,0.2774210236417693,0.1801202833686356
144,COMPLETE,rbf,0.09883372323134294,8.033168848521276,0.0757141598028573,0.27516206098017454,0.1781385694355139
145,COMPLETE,rbf,0.09557367535200637,7.473281262483334,0.07623228949544264,0.27610195489246836,0.17889538768604127
146,COMPLETE,rbf,0.09590977980624019,8.334857532866536,0.07588970103141035,0.2754808542011774,0.17842226112113244
147,COMPLETE,rbf,0.09864101563468806,8.060501309969117,0.0757205255378557,0.2751736279839616,0.17814507274358082
148,COMPLETE,rbf,0.0640342170320115,7.954649600927272,0.07977392842590421,0.28244278788084537,0.18538122225281295
149,COMPLETE,linear,0.09978033347403156,8.781790370062277,0.2728143513532055,0.5223163326502489,0.37990699387916566
150,COMPLETE,rbf,0.0889910857882054,6.591649662615495,0.07717011826692034,0.27779510122916196,0.1804507923249873
151,COMPLETE,rbf,0.09708239707022481,9.127873151134828,0.07578549220733112,0.2752916493599672,0.17807199451679734
152,COMPLETE,rbf,0.0976123170439691,10.371199547840009,0.07575895345819439,0.27524344398767137,0.1777882500545188
153,COMPLETE,rbf,0.09977813406164819,9.988399960217283,0.07566833092761648,0.27507877222282434,0.17768624376468706
154,COMPLETE,rbf,0.09953558533279136,7.751118271041914,0.07572276641919429,0.27517769971273887,0.17818350834633676
155,COMPLETE,rbf,0.0980491123247927,7.981739535752147,0.07579346621241463,0.27530613181041685,0.1782674653033038
156,COMPLETE,rbf,0.06801129229539332,5.836226238530253,0.07957814411912212,0.2820959838762724,0.18557143412203037
157,COMPLETE,rbf,0.0991524941231113,7.75789099190542,0.07575422220285688,0.2752348491794905,0.17822947751954288
158,COMPLETE,rbf,0.09938302229269799,9.287812702450655,0.07572555336151532,0.27518276356181054,0.1778372429844219
159,COMPLETE,rbf,0.09996173833085471,9.204684562894021,0.07570076369263293,0.2751377176844951,0.17780641553752285
160,COMPLETE,rbf,0.06731616724910937,9.044389869057632,0.07919183335921312,0.2814104357681376,0.1839542994717973
161,COMPLETE,rbf,0.09943494911302363,11.17856553583977,0.07581998470995102,0.2753542894344503,0.177547561720118
162,COMPLETE,rbf,0.09972585078129802,7.419765407193109,0.07580374876947737,0.2753248059464991,0.17833040234774453
163,COMPLETE,rbf,0.09872801303315157,11.04610912624045,0.0757912291720541,0.2753020689570896,0.17761922261509813
164,COMPLETE,rbf,0.09954674503695157,10.975201909611393,0.07577782579144413,0.2752777248370164,0.17755550744002938
165,COMPLETE,rbf,0.086297195753925,10.801441358750157,0.07631177117324422,0.2762458527711217,0.17895123754659145
166,COMPLETE,poly,0.002864099178473643,6.0002437442498575,0.6716287729486764,0.819529604681049,0.6588984768630985
167,COMPLETE,rbf,0.07171576160392479,9.157830704979444,0.07853073005516278,0.2802333492915552,0.18259953139354196
168,COMPLETE,rbf,0.09984523409325707,3.7864112379162513,0.07728587570093194,0.2780033735423582,0.18116999058152247
169,COMPLETE,rbf,0.08492121465284884,4.74113361706623,0.07812809839096663,0.2795140397027788,0.18266411760401227
170,COMPLETE,rbf,0.06027371271067544,7.256877004581726,0.08036850168073781,0.2834933891305718,0.18680091723905004
171,COMPLETE,rbf,0.09968172681393318,10.568592025467908,0.07570734261371834,0.2751496731121415,0.1776062204849131
172,COMPLETE,rbf,0.0006853830469313694,11.060216593322247,0.28579509681766746,0.5345980703460006,0.4075131297769113
173,COMPLETE,rbf,0.08438772466040191,9.316489457857477,0.07691686120099325,0.27733889233389764,0.17988286824046307
174,COMPLETE,rbf,0.09974879338218982,8.063013619922122,0.07565890878880258,0.27506164543389644,0.1780357941656792
175,COMPLETE,rbf,0.09988276125469657,6.799490912756905,0.07607471434753822,0.275816450465773,0.17869618950381952
176,COMPLETE,rbf,0.07389145452857405,5.585655292871093,0.07895389163866619,0.28098735138554937,0.1842398903285537
177,COMPLETE,rbf,0.0997485531763285,7.700053509839167,0.07571971880855947,0.27517216212502216,0.17818267488039596
178,COMPLETE,rbf,0.07447593956213513,11.056341332455531,0.07781329316566954,0.27895034175578554,0.18120714572964444
179,COMPLETE,rbf,0.0864283603801544,6.180347184513473,0.0776505145968505,0.2786584192104206,0.18127870539843513
180,COMPLETE,rbf,0.06793964539027991,8.117507788960056,0.07932991960915997,0.28165567562035737,0.1843463422979851
